"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Rcor1",9434.35836881307,-0.347415439811732,0.116092525107212,0.000923485654040768,0.00828357904790608,10543,5933,9152,9919,9994,9817,10756,14272,8362,9554,7221,9247
"Traf3",7434.87015435601,-0.66700139344683,0.202429323614609,3.61939013528208e-05,0.000609109083039566,7881,4571,6320,7155,9396,7037,9934,13797,7968,6163,5026,4808
"A230087F16Rik",24.1526877006389,-1.78352626732863,0.607895959379087,1.25007762293462e-05,0.000249646454050628,43,11,12,8,39,39,20,44,44,7,7,5
"Exoc3l4",815.278201583557,1.09915116199271,0.178630745055386,2.27075983478267e-11,1.89703438149633e-09,476,808,1161,1234,486,459,552,726,400,1862,1051,1027
"Tnfaip2",2787.31743761278,1.73201164831779,0.23986881265061,9.720278773231e-15,1.32353588049273e-12,1359,2771,4079,4824,623,1523,1226,1615,969,7398,2689,6443
"Snora28",89.2618577279013,-0.655581093958533,0.333871485031469,0.0023518965238015,0.0169049592749008,106,86,59,86,116,102,113,110,90,40,77,73
"Trmt61a",4416.51262409767,-0.386007701332277,0.176079954282945,0.00665446615908224,0.0373685481482565,4446,3137,3950,5093,4955,4010,5234,6933,4123,4891,4405,2714
"Bag5",4817.30832032297,-0.292464943634249,0.0952104062361306,0.00100797234428885,0.00886584399638963,4767,3361,4347,5580,5003,4877,5125,7139,4274,5335,4374,4651
"Ppp1r13b",4159.93718793291,0.923952592319247,0.201886440901621,9.01400399493474e-08,3.53078662286287e-06,2863,4431,4299,7780,1926,2910,2579,2674,1893,8837,6045,6148
"5033406O09Rik",621.984624515864,1.386281680399,0.268741377914935,6.67945085959646e-09,3.44131216400192e-07,381,721,621,1307,243,277,211,254,217,1400,1276,991
"Gm36757",253.332451330807,1.1100740322922,0.202147776404233,1.07417217113303e-09,6.58605738493813e-08,170,270,427,525,91,148,108,166,92,415,410,357
"Tdrd9",192.493084752811,1.22011282243406,0.283299261631008,3.42818712806938e-07,1.1356343742257e-05,117,171,393,345,99,139,94,114,84,279,191,366
"Kif26a",40479.7561179352,0.407709041270874,0.136584790332758,0.000610668758515765,0.00595309772074248,22875,49313,29493,74496,39610,26902,40657,26451,32707,48823,66057,39282
"Gm36894",49.4112891128652,0.854971100173662,0.411150160952048,0.000880344766039552,0.00795942670868491,25,73,57,118,23,28,19,19,35,85,83,50
"Gm29890",646.849536595141,0.764476949190099,0.221629249966023,1.39361864223174e-05,0.00027413498413656,570,433,892,801,364,632,358,489,317,1228,594,1371
"B020018J22Rik",1086.02119418707,-0.321107741738602,0.133782440946081,0.00619172730262532,0.035466927961011,1130,860,763,1288,1215,1083,1379,1164,1064,1030,1126,1026
"Tmem179",15183.7515398794,1.33044454001686,0.217425902781255,3.46990662397339e-11,2.75607848477644e-09,7274,20466,16464,34526,6613,7303,8106,6697,6197,33014,29952,15374
"LOC118568023",36.7984474777008,1.72743958593308,0.478627879620452,2.14493945929636e-06,5.51867920515159e-05,15,34,69,117,12,8,17,13,12,67,71,40
"Adssl1",905.979894678751,0.651437206268921,0.344466130308564,0.0028557347763275,0.0195756464612002,612,1007,639,1746,436,693,697,388,596,2067,1258,1239
"Gm30298",33.0490253742004,0.98551363761964,0.498338175025904,0.000774357061343131,0.00719428144408689,17,20,31,42,38,17,26,15,27,51,51,74
"Jag2",9713.50427996593,-0.40905867139955,0.167510824717643,0.00298278222444396,0.020221778358993,11663,6345,6391,9585,9934,11056,11218,13589,9260,13824,7545,8012
"Mir6941",33.8215653687793,-0.800487724752526,0.412736167714751,0.00146661120781987,0.0118373250257024,43,7,18,26,41,52,45,68,43,27,9,30
"Pacs2",6283.23352310636,-0.303603948326945,0.120407353483787,0.00499325861032407,0.0301045542840383,5954,4885,5307,7807,6519,5596,7600,8841,6010,6964,6368,4814
"Tedc1",4094.5817973546,-0.330415419409364,0.141439979518991,0.0068743917330435,0.0383885806258826,4460,3039,2985,4776,4147,4171,5001,5131,3964,5342,3724,3152
"Gm30948",554.177254532755,-1.04667164857498,0.227214818331317,8.52447628407377e-08,3.36628518268819e-06,773,224,295,398,821,659,710,823,806,324,279,467
"Zfp386",1834.67539251462,-0.558324892940082,0.312128250999648,0.00561249924134887,0.0329597766711972,2547,869,1731,1155,2485,1877,2178,3467,2034,802,889,1875
"Wdr60",1478.27969058916,-0.84485881855489,0.322014624679378,0.000197054081574724,0.00242205570723352,1468,715,1337,1088,2013,1621,2082,3319,1671,686,822,984
"Ncapg2",8686.6337705215,-0.692194502014788,0.278646920752207,0.000485705350213821,0.00498032053233917,12500,4631,6571,6567,11473,10022,11209,13022,9514,4404,4658,8922
"Rapgef5",2652.7321229069,-0.976442212423921,0.246278127378305,1.35956161941388e-06,3.73928750661831e-05,2838,1223,2132,2006,3486,3573,3492,5269,3020,1413,1386,2023
"Akr1e1",1751.12428996311,0.296036593517469,0.122743238850195,0.00702887882375215,0.0390020005438632,1656,1314,2078,2610,1437,1493,1487,1744,1159,2695,1958,2039
"Idi1",9737.63450583315,-1.06976677198276,0.19702984020702,1.40850423398404e-09,8.43855008068896e-08,12401,4418,6644,7268,13377,10134,14968,17535,12698,5463,4828,6723
"Dip2c",9684.58684929501,-0.38001238701721,0.0933824701363951,1.3149394489902e-05,0.000261355121382706,10188,6720,7470,11403,10131,9887,11915,12776,9930,10530,8026,8756
"Zmynd11",20833.009842922,-0.306909617481615,0.106124759525493,0.00164903486693247,0.0129265839718531,21491,14778,19205,23903,22214,21665,23745,28475,19383,20713,17178,20280
"Lgals8",5089.56273187381,0.534930146828727,0.179458299465711,0.000238645276301272,0.00281924101338669,4090,4548,6614,7782,4134,3405,4155,4951,3351,6018,5497,8129
"Arid4b",3865.06984977181,-0.729936874336727,0.381003425354344,0.00197658987646358,0.0148555961002025,5427,1696,3012,2136,5336,4356,5697,6785,4905,1093,1602,3721
"AW209491",2085.64740653153,0.616204464771437,0.145560275154041,1.0304600187076e-06,2.91209112294874e-05,1551,1997,2340,3069,1466,1808,1554,1739,1293,3681,2289,3052
"Cdk13",6792.71233798469,-0.415251591419251,0.154662770141578,0.0014451831075052,0.0117004033132342,7148,4709,5889,7555,7775,7536,7772,9712,6659,5517,5078,6780
"Yae1d1",3893.20017675478,-0.402567997982849,0.189903922785305,0.00702092633117162,0.0389888252749835,4332,2464,3787,3910,4586,4083,4890,5879,4069,2847,2399,3654
"Stard3nl",3456.3736872511,0.31052895610184,0.0959111143265867,0.000517821491014043,0.00523538999280302,2611,2975,3815,5283,3019,2643,3255,3769,2649,4723,4160,3755
"Zfp322a",1052.02537472019,-0.675174486831498,0.306427868655561,0.00116087742746778,0.00989004681330705,1537,416,963,664,1333,1437,1170,1808,1151,502,430,1126
"Gm46404",145.248760587253,0.660012136042973,0.471170886485347,0.0075142426638711,0.0410328527132065,51,163,332,198,154,52,120,161,105,90,125,205
"Gm33387",5.62597767795513,1.8871190939605,1.71577312626373,4.41975981776489e-05,0.000716766771993132,0,8,15,6,8,0,4,0,2,15,5,6
"H2bc4",346.880633915698,0.756464915263003,0.356009152623837,0.00106109276331788,0.009209459500833,177,273,711,521,119,190,262,471,154,494,382,591
"Hfe",789.449401204487,0.538773903881885,0.128656381731827,2.20621888772446e-06,5.65552614385016e-05,515,835,848,1375,637,509,616,725,496,1163,1217,857
"H1f2",843.68802256117,1.31383929982627,0.226998070234192,2.42628151640698e-10,1.69588990391793e-08,329,952,923,1426,345,506,477,639,348,2044,1338,1362
"Aldh5a1",698.207328090389,0.500817959349055,0.210903658756572,0.00185784963814926,0.0141303043389017,328,909,877,1403,512,432,577,616,487,667,1050,726
"Mrs2",10314.7860424748,-0.284988521277582,0.0974582013413871,0.00169263904559191,0.013174813714557,10627,7834,8762,13064,10709,10757,11658,12823,9522,11180,8770,9810
"E2f3",5903.30322956706,-0.301366190434276,0.0978376954150377,0.000931009752624283,0.00833575725993962,5844,4362,5161,7557,6177,5957,6691,7844,5604,6012,5142,5534
"Serpinb6a",2710.69566513167,0.339570158518305,0.142104593055455,0.00562906024054636,0.0330354783610458,1825,2542,2558,4940,2333,1836,2602,2246,1985,3632,4675,2419
"Bphl",909.32290151749,0.450550726185489,0.192937446584684,0.00292290979595866,0.0199513331743025,483,780,1211,1421,635,830,688,1041,491,1417,1191,1147
"Gm36839",54.2430257433321,0.717658510694931,0.413327199006338,0.00312882716226291,0.021008125765447,29,64,68,63,49,27,22,42,57,89,69,81
"Prpf4b",11634.5036839588,-0.953167684001251,0.285487691663902,1.5216984367181e-05,0.000295365098155016,16189,5301,9316,7652,14895,13850,15049,21925,14103,5246,5390,9820
"Eci2",6014.22503411739,0.346319917241034,0.131824713109835,0.00281260558052599,0.0193495821581527,4805,5701,6105,9389,4173,5604,4795,5216,3785,9516,7935,7390
"Nrn1",8558.80594794663,-0.440275102334771,0.190663646078135,0.00336499803121624,0.0222448435424254,8007,6567,4398,11513,11335,7317,11993,9252,9746,9478,9812,4489
"Gm52041",19.1686607856011,1.37205358724583,0.585594165899703,0.000128446990168661,0.0017357764245289,4,22,26,21,13,6,26,12,14,40,22,31
"Tmem170b",2316.08525816625,-0.886145739227253,0.299294750523063,6.15182815099754e-05,0.000939531569543098,3101,1106,1654,1621,3062,2686,3515,3796,3090,1050,854,1971
"Rnf182",1277.00348546534,-0.841805406674327,0.262884064777241,2.9030093707838e-05,0.000508973273377638,1074,851,961,1322,1820,1280,1873,2327,1600,835,834,602
"Gm33195",162.670850020364,0.643303894340867,0.39657952632799,0.00538678025251607,0.0319353675756317,92,155,309,240,100,98,102,160,84,104,202,346
"Mylip",1430.97938628653,-0.440682693095954,0.18407726065569,0.00268886645876881,0.0187007763760939,1909,1058,1102,1540,1163,1895,1496,1794,1338,1634,955,1426
"Nup153",21864.4950329093,-0.264923511842548,0.103807205457384,0.00571725894110144,0.0333972792615995,21133,17419,19278,28732,22896,20613,25015,28430,21192,21960,19569,19768
"Kdm1b",1597.911155754,-0.433259387543161,0.14977185351174,0.00067302891829024,0.00642656802715303,1634,1059,1434,1764,1580,1857,1899,2349,1645,1364,1243,1521
"Dek",17612.6124496061,-0.985086813767783,0.311530021582935,2.71885696598063e-05,0.000480300856947327,23491,8675,12742,12460,23820,18165,26816,31002,23645,6464,8712,13290
"Id4",1142.59260647671,-1.56423724795599,0.175747924134794,1.88315839672985e-20,4.93599355262853e-18,1607,655,467,908,1253,1774,1831,1738,1324,775,705,588
"LOC118568094",470.630195691393,-0.628438140889685,0.377259041812375,0.00524934134253826,0.0313188546783745,647,216,376,358,686,480,616,790,654,138,182,436
"Mirlet7d",20.1524368980739,-0.770403965623472,0.57344666038144,0.00501760304599083,0.0302133137512145,35,2,15,13,24,23,26,46,33,5,4,14
