"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"Gm12992:NR_102393.1-1","Gm12992","NR_102393.1-1",20.9985753647011,0.103041549692511,13.5185442854795,0.000236217579209735,0.0387267229915373,3.87201116387607,8.38624085261324,2.23378039627619,6,15,4,16,47,47
"Epb41:NM_183428.3-1","Epb41","NM_183428.3-1",922.481145690582,0.0198791157789412,15.0832216826491,0.000102873601120381,0.0217093327381279,32.7506612437816,45.3165823307419,1.00513031060115,542,1177,429,595,1371,1545
"Ahdc1:XM_006538742.2-7","Ahdc1","XM_006538742.2-7",357.215923730432,0.0138285948540678,11.5537389312253,0.000676131515097464,0.0767845086534623,28.6581691384696,22.7394723417057,-0.688794775949065,439,237,437,384,265,380
"Zdhhc18:XM_006539018.2-9","Zdhhc18","XM_006539018.2-9",327.148696991813,0.00279336190499657,14.3791971240893,0.000149444221806498,0.0281448679678316,23.1787939811761,26.2828852921342,0.373391883019208,242,418,247,397,463,264
"Zdhhc18:XM_006539022.3-9","Zdhhc18","XM_006539022.3-9",221.53509480947,0.00195361896580685,16.8965662086614,3.94729250377218e-05,0.0107359170497317,19.0924533824898,21.8141531000159,0.392338015593834,183,282,140,272,317,183
"Zdhhc18:XM_006539020.3-9","Zdhhc18","XM_006539020.3-9",282.747728100807,0.001540154074129,15.9131569154629,6.63161157162034e-05,0.0158109613207505,21.7743694432284,24.3373734451534,0.329370788733012,236,350,188,354,397,232
"Zfp593:NM_024215.2-1","Zfp593","NM_024215.2-1",3589.19646615751,0.00118534225203315,17.1002824685207,3.5457031015983e-05,0.00992057626976904,71.8037158598369,73.6330809572682,0.0904384631237978,2226,4278,2546,4067,6215,3251
"Zfp593:NM_024215.2-2","Zfp593","NM_024215.2-2",2055.12401658671,0.00041992767378907,28.600116932882,8.8976810110255e-08,8.52173497617076e-05,56.7474308507201,58.5952092948037,0.107008400842339,1333,2542,1393,2281,3522,1833
"Zfp593:NM_024215.2-3","Zfp593","NM_024215.2-3",6629.74054130489,0.00118054920394789,32.0778060550178,1.48119805493686e-08,1.89688994106322e-05,95.1870503583444,89.6914994370845,-0.237841645443616,4759,7825,5191,8678,9989,5053
"Gm42325:XR_881491.3-1","Gm42325","XR_881491.3-1",16.8337429251951,0.0534810656774618,10.8230379123229,0.00100244870738857,0.0975842277706,5.6626923201805,5.54808385677171,-0.0590876195358083,17,10,26,16,14,18
"Aunip:NM_001081099.1-3","Aunip","NM_001081099.1-3",3826.93431831855,0.000278739584559747,16.1502258797981,5.85115913289151e-05,0.0144418593254374,75.6985761716083,74.5567597724485,-0.0553263673795747,3131,4729,2739,5303,4847,2989
"Man1c1:XM_036164067.1-11","Man1c1","XM_036164067.1-11",1581.28622392438,0.00046912109179739,14.4587090700727,0.000143265869327062,0.0273257393808475,50.4898579486183,52.9986525008412,0.157759393217589,1655,1451,1253,2310,1829,1298
"Rsrp1:NM_023665.3-2","Rsrp1","NM_023665.3-2",7648.82920263694,0.000233787768427921,12.9391839552659,0.000321775249305056,0.0477260201505653,95.8977270155724,97.4043142939894,0.0638433434725343,7655,9039,6349,12791,3502,6801
"Rsrp1:NM_023665.3-5","Rsrp1","NM_023665.3-5",5365.35073048028,0.000473815657782024,10.9824536103275,0.000919785738653249,0.0927287185095797,85.7711761973556,83.6028482418934,-0.0981139176460761,5523,5858,4950,9249,2349,4466
"Rpl11:NM_025919.3-4","Rpl11","NM_025919.3-4",109837.867323962,0.000113397964696012,11.5536260312196,0.000676172572695841,0.0767845086534623,199.147229110353,199.924527697507,0.0275871357854847,89066,100111,89159,110777,215409,91136
"Gm42329:NR_168524.1-1","Gm42329","NR_168524.1-1",36.5193892788153,0.0163185163391603,13.7440618540442,0.00020948201054839,0.0353787805802799,9.12084096808579,7.2511645952597,-0.664064021833705,53,16,44,47,32,30
"Gm42329:NR_168524.1-2","Gm42329","NR_168524.1-2",37.1802541724447,0.0161447990898634,13.8007999537107,0.000203249671277569,0.0347562015016751,7.56594324449082,9.40899575591916,0.631244808168466,39,32,29,31,66,35
