"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","12_S3_Diff_S12","2_S1_S2","4_S2_S4","6_S3_S6","8_S1_Diff_S8"
"Mrps9",21316.0748830083,0.283217885606383,0.105152607661128,0.00521777029388535,0.0224020117306474,19010,31896,18743,20402,16709,27538
"AI597479",14165.3707240807,-0.266667554727237,0.106484100346242,0.00934494709917939,0.0352816340876292,10324,17574,14963,15530,12530,12350
"Uxs1",30514.669609528,-0.266802881794501,0.102977620483018,0.00730703244090677,0.0290301559782823,22916,39037,32052,36503,28604,28929
"Tpp2",48588.2305433911,-0.34882571568862,0.138250000512852,0.00712971003975555,0.0284930226460137,34429,57802,52292,54976,45832,40991
"Gm8251",397.987814148974,-3.27547934652072,0.490249417653772,1.62132020473083e-16,2.28170895120811e-14,52,63,558,631,654,49
"Tex30",12688.2697619475,-0.778922899635623,0.202313111557978,9.3406320565023e-06,0.000128519497108134,8301,12829,16390,17430,14290,8090
"Slc39a10",22689.0852700744,-0.670763658470589,0.236043824947781,0.000630072089763577,0.00402927162252286,13827,22128,27825,28639,24021,15309
"Gm28321",3979.64038568756,-0.574349534318421,0.236053344299992,0.0033850789970868,0.0158476716878574,1783,3402,3633,3847,3541,2460
"Cavin2",10715.5833406621,-0.756457188656439,0.305926121299806,0.00115063038389171,0.00658863149094084,4273,7262,6793,10634,8952,3378
"Nabp1",11687.295523377,-1.08725355250293,0.275078800055064,1.50565684390577e-06,2.7719155715417e-05,6480,9728,17466,16608,13918,6336
"Myo1b",15936.6951668369,-0.908266978913927,0.218026380536117,1.20639721828324e-06,2.29584795491083e-05,9350,14816,22656,22885,18724,11333
"Gm31812",64.7341814253405,1.43751009404306,0.355186770324377,6.05213459795361e-07,1.27161533451392e-05,57,127,21,30,32,128
"Stat1",2720.18521783595,-0.353500625879912,0.123384203882229,0.00256356227888116,0.0126334518039622,1672,3067,2994,2913,2424,2571
"Gls",24001.555227718,-0.891374941012859,0.181854760762126,3.92711641863791e-08,1.19517712891754e-06,14175,22372,32740,32964,27008,16575
"Nab1",6675.23785641942,-0.664266852241357,0.269856663867769,0.00193215733150582,0.0100087468093739,4102,6039,8144,8150,6715,3977
"1700019D03Rik",102.629065391801,1.05484955584869,0.421758284440746,0.00030505458993215,0.00224209242772074,107,220,52,56,40,144
"Pms1",1589.93743164353,-0.482423742756006,0.187943848994723,0.00375112805045899,0.0171778563201735,1030,1639,1767,1874,1522,1250
"Pgap1",2354.13028592791,-1.42631812290419,0.298535763774272,2.24153290520861e-08,7.32129337839864e-07,1070,1456,3162,3340,2966,963
"Hspd1",91097.6139793671,-0.551749821573831,0.151192239572834,7.51015129960411e-05,0.000716145350620276,56334,97296,104629,108866,89002,71563
"Mob4",7368.65915360532,-0.744114837645106,0.269385028348951,0.000535239852460136,0.00353940222839375,4001,5707,8603,8421,7374,4497
