"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.1_C1P_S1","countData.2_S1_S2","countData.3_F6_S3","countData.4_S2_S4","countData.5_F8P_S5","countData.6_S3_S6"
"Lactb2:9","Lactb2","9",1042.51562579308,0.000352305810617825,14.7800681733052,0.000120805665083922,0.0279498120868964,46.4221085069482,49.2887843137222,0.177824119446674,995,893,1034,978,1712,808
"Stau2:13","Stau2","13",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690831,211,354,205,340,203,260
"Stau2:27","Stau2","27",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690834,211,354,205,340,203,260
"Stau2:40","Stau2","40",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690831,211,354,205,340,203,260
"Stau2:52","Stau2","52",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690834,211,354,205,340,203,260
"Stau2:66","Stau2","66",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690832,211,354,205,340,203,260
"Stau2:81","Stau2","81",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690834,211,354,205,340,203,260
"Stau2:94","Stau2","94",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690833,211,354,205,340,203,260
"Stau2:107","Stau2","107",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690832,211,354,205,340,203,260
"Stau2:120","Stau2","120",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690831,211,354,205,340,203,260
"Stau2:134","Stau2","134",263.073103391801,0.00193078879789812,21.3425999145412,3.84100529874598e-06,0.00255698970896939,25.9294521748,21.9889105138335,-0.479038161690831,211,354,205,340,203,260
"Stau2:147","Stau2","147",262.901862283845,0.00188988985037325,21.4395707339085,3.65156762284199e-06,0.00245556579654261,25.9161163267095,21.9880429507036,-0.477655847557044,211,353,205,340,203,260
"Stau2:161","Stau2","161",262.901862283845,0.00188988985037325,21.4395707339085,3.65156762284199e-06,0.00245556579654261,25.9161163267095,21.9880429507036,-0.477655847557044,211,353,205,340,203,260
"Tram2:3","Tram2","3",70.6259655462397,0.00435943605729522,14.4253457007627,0.000145826372341577,0.0318383714289671,11.3447804479993,13.930879137533,0.593695848580846,68,56,81,70,116,45
"LOC118567721:3","LOC118567721","3",8.48748682821722,0.0323661587009047,12.9479688739818,0.000320268783874736,0.053637364920918,5.58800705813917,2.85263252685354,-1.94049702592795,2,12,5,12,5,14
"Dst:3317","Dst","3317",414.587888388689,0.00081245026345428,20.588667757708,5.69321224965834e-06,0.00344836976839299,28.4427484029271,32.102359189366,0.353231299701772,452,349,435,315,663,327
"Dst:3431","Dst","3431",414.587888388689,0.00081245026345428,20.588667757708,5.69321224965834e-06,0.00344836976839299,28.4427484029271,32.102359189366,0.353231299701772,452,349,435,315,663,327
"Uggt1:38","Uggt1","38",5882.10953032882,6.44979745033328e-05,11.2755101101437,0.000785362713096353,0.0896008387062669,108.716550015716,106.417416006841,-0.0703631987170734,5084,5970,4910,6278,8067,5549
"Uggt1:79","Uggt1","79",5882.10953032882,6.44979745033328e-05,11.2755101101437,0.000785362713096353,0.0896008387062669,108.716550015716,106.417416006841,-0.0703631987170734,5084,5970,4910,6278,8067,5549
"Kansl3:46","Kansl3","46",2368.56371937074,0.000220482226254436,11.3914394827015,0.000737833330412573,0.0857914568872652,69.536213027788,72.3036791201484,0.119614103781045,2081,2266,2583,2305,3191,1992
"Kansl3:68","Kansl3","68",2368.56371937074,0.000220482226254436,11.3914394827015,0.000737833330412573,0.0857914568872652,69.5362130277879,72.3036791201484,0.119614103781046,2081,2266,2583,2305,3191,1992
"Kansl3:133","Kansl3","133",2368.56371937074,0.000220482226254436,11.3914394827015,0.000737833330412573,0.0857914568872652,69.536213027788,72.3036791201484,0.119614103781045,2081,2266,2583,2305,3191,1992
"Vwa3b:239","Vwa3b","239",63.5267424430603,0.0108914410413985,14.2122542555361,0.000163303576348723,0.033987762778021,13.7720682240488,10.0805908159529,-0.901920505988281,73,32,70,61,115,43
"Eif5b:2","Eif5b","2",5557.47560029608,0.000137883702199375,14.0707964345262,0.000176056224302384,0.0358491059699015,103.405507650699,106.350771876139,0.0919018321477516,5346,5461,4752,5853,7750,4778
"Eif5b:10","Eif5b","10",11964.1905637502,6.54943727089954e-05,15.3020276199019,9.16181184141831e-05,0.0231765633560416,142.90853897645,146.782606741195,0.0964647671551422,11094,11829,10268,12687,16737,10457
"Eif5b:26","Eif5b","26",5557.47560029608,0.000137883702199375,14.0707964345262,0.000176056224302384,0.0358491059699015,103.405507650699,106.350771876139,0.0919018321477516,5346,5461,4752,5853,7750,4778
"Eif5b:34","Eif5b","34",11934.5510658725,6.74794807414787e-05,15.2083818232906,9.62751491356505e-05,0.0239767611628273,142.746871668234,146.648369104315,0.0972093710197299,11069,11798,10239,12654,16704,10429
"Rpl31:5","Rpl31","5",31520.8275412424,0.000199327161799369,11.766624382889,0.000603022353275846,0.0775628544759154,209.601635389436,213.816799782818,0.0865760523884305,28260,31294,31386,33404,40824,26624
