"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.10_S2_Diff_S10","countData.11_F8P_Diff_S11","countData.12_S3_Diff_S12","countData.7_C1P_Diff_S7","countData.8_S1_Diff_S8","countData.9_F6_Diff_S9"
"Sltm:XR_001778967.3-7","Sltm","XR_001778967.3-7",2207.43499487844,0.00037539083259081,13.8135648523767,0.000201873462898941,0.0846776337342213,59.9457217443993,57.6325840731129,-0.136759944465421,1773,2740,2569,1528,1987,2579
"Sltm:XM_036155181.1-6","Sltm","XM_036155181.1-6",2006.44441749726,0.000327052135720957,15.2143615452166,9.59707806678775e-05,0.0525241898320644,57.6231566046688,55.2394924238036,-0.144932913214314,1643,2452,2296,1380,1812,2377
"Tcf12:NM_001253864.1-1","Tcf12","NM_001253864.1-1",30.4465869190452,0.0246092869840025,22.3205715084015,2.30721709000175e-06,0.00364892040783474,5.05707672704821,9.20831307268284,1.73452943193631,15,61,12,40,9,43
"Tcf12:XM_030244214.1-1","Tcf12","XM_030244214.1-1",32.6272340208195,0.0292111468779054,22.9956717822855,1.62366538035155e-06,0.00291702841476016,5.06218538160883,9.61317694972041,1.85644124906102,15,69,12,40,9,47
"4933433G15Rik:NR_040719.1-1","4933433G15Rik","NR_040719.1-1",44.6848611010944,0.0156486372624488,29.4157485576146,5.84011223720156e-08,0.00018862410954734,10.4398158396243,7.99176695699236,-0.77502824132348,34,29,80,30,67,37
"Col12a1:XM_006510797.4-1","Col12a1","XM_006510797.4-1",264.604746593143,0.0463982500673032,26.6562580986164,2.43062248057874e-07,0.000586716447111994,26.2993957638527,19.1218294780165,-0.948424699674689,177,237,338,340,319,230
"9430037G07Rik:NR_040766.1-5","9430037G07Rik","NR_040766.1-5",373.846419651276,0.00601144546010858,15.3672094543786,8.85110413692102e-05,0.0498697738639356,24.9307070440785,27.6682217944319,0.313309710182939,265,446,414,304,280,535
"Mthfsl:XM_036154491.1-1","Mthfsl","XM_036154491.1-1",8.45431123262899,0.0850984386003038,15.1618403961234,9.86775584980212e-05,0.0536216658875171,1.86775265653634,5.22611597072799,2.97098979118514,4,14,0,14,1,17
"Gm40564:XR_871130.2-1","Gm40564","XR_871130.2-1",73.9979502129241,0.0118438329518672,14.4987722253255,0.000140250922859637,0.0679632645380703,12.2971292173605,11.1181412778917,-0.293262860722873,88,81,92,47,90,39
"Pcbp4:XM_030244480.1-1","Pcbp4","XM_030244480.1-1",633.111868916011,0.000613643472518543,25.3570650191472,4.76404333862004e-07,0.0010115475576287,32.0161676870214,35.4359945061553,0.313061888155421,380,529,579,1298,502,693
"Rassf1:NM_001243748.1-2","Rassf1","NM_001243748.1-2",60.7639521380666,0.00880895000355033,18.7684662627581,1.47587314608622e-05,0.0147148402768656,9.06651999397178,12.5325565455224,0.940767940318452,25,72,60,110,45,69
"Rassf1:XM_036155142.1-2","Rassf1","XM_036155142.1-2",63.0342330914695,0.00977323483455426,19.1796155100842,1.18977145970647e-05,0.0124581567147968,9.17160131671133,12.7971800216503,0.968233516516996,26,73,60,115,47,74
"Azi2:XR_004935444.1-8","Azi2","XR_004935444.1-8",412.346911127831,0.001401282803812,28.8462061924726,7.83592355200095e-08,0.000236434558585612,29.5200773410206,25.745138854763,-0.413173415932906,367,371,607,341,442,382
"Azi2:NM_001286507.1-7","Azi2","NM_001286507.1-7",412.346911127831,0.001401282803812,28.8462061924726,7.83592355200095e-08,0.000236434558585612,29.5200773410206,25.745138854763,-0.413173415932905,367,371,607,341,442,382
"LOC118567689:XR_004935721.1-1","LOC118567689","XR_004935721.1-1",17.1067337606584,0.107762614789243,19.7867861129339,8.65791632713422e-06,0.0098287066360055,8.07832414507735,3.05251963624556,-2.81308372580466,15,0,44,7,33,10
"Syne1:XM_036155919.1-76","Syne1","XM_036155919.1-76",486.900066074015,0.00407394458111295,15.2943044456081,9.19934645763701e-05,0.0512028478708614,27.3058716380666,31.9139844044118,0.473964529727798,316,707,542,373,270,704
"Sash1:XM_030245256.2-8","Sash1","XM_030245256.2-8",175.583544048249,0.007027410906724,13.3497506020364,0.000258456994389084,0.09863237853229,16.4851998740231,20.0014842990364,0.569234404322239,133,219,180,231,121,183
"Ccn6:XM_036155821.1-3","Ccn6","XM_036155821.1-3",90.0597385962206,0.0183287001358654,17.1378923270191,3.47618209097281e-05,0.0264831950954658,10.7865845498341,13.7035186523032,0.696957720614503,18,183,55,88,58,136
"Afg1l:XM_030245011.1-7","Afg1l","XM_030245011.1-7",181.53286135869,0.00255100293160731,13.8515735775497,0.000197831007044786,0.0840107689101519,19.940155119343,17.2274794684329,-0.430858491209955,172,122,251,201,220,148
"Lin28b:XM_011243183.4-1","Lin28b","XM_011243183.4-1",309.743721122996,0.00162720917811978,17.6728577111239,2.62343502552505e-05,0.0215625672513729,22.2011396643015,25.0288255517061,0.357709824283724,221,425,289,232,187,481
"Gm46226:XR_001779776.1-2","Gm46226","XR_001779776.1-2",31.7976450655495,0.0260327462605033,13.6885421240885,0.00021576690457156,0.0886716908400211,6.62015143687336,8.43608255488215,0.701847815654428,14,29,22,61,18,54
"Aifm2:NM_178058.4-10","Aifm2","NM_178058.4-10",227.49451390802,0.00327311325258655,14.1454052100058,0.000169209865382225,0.0767749341916403,22.2942698133986,19.1903493408464,-0.443974901041038,218,155,354,263,261,156
"Chchd10:NM_175329.4-1","Chchd10","NM_175329.4-1",497.473206381758,0.0229762893918411,14.3644587619202,0.000150618582844032,0.0719567727988793,25.0871286447918,35.0800081833038,1.02027146731763,264,388,472,961,333,709
"Dip2a:XR_001779571.2-8","Dip2a","XR_001779571.2-8",172.601588865306,0.00282580796445686,22.9524531496419,1.66058159352579e-06,0.00291702841476016,16.3732746597574,20.0248836645335,0.592673848021945,125,193,206,263,113,167
"Gm40713:XR_871867.4-4","Gm40713","XR_871867.4-4",5.29884904628286,0.15852138245183,13.6546078867854,0.000219701500578337,0.0893112946980373,1.74188843566091,4.87879983514617,2.97359485763857,2,10,3,8,2,7
"Kiss1r:XR_004936040.1-5","Kiss1r","XR_004936040.1-5",1223.78099776841,0.000694735260746485,33.6607929443311,6.56098332436956e-09,3.13445510835652e-05,44.0973229901756,48.1243289729737,0.284342663863946,995,935,1533,1939,1320,905
"Kiss1r:XR_004936040.1-6","Kiss1r","XR_004936040.1-6",3408.83532558333,0.00156396008656652,19.3089146776466,1.11186021161119e-05,0.0119143615086838,72.7019877976609,67.0164363173779,-0.301685732642669,3059,2292,5070,3982,4640,2074
"Kiss1r:XR_380346.5-4","Kiss1r","XR_380346.5-4",1252.34251793514,0.000886650914854461,27.1218347975189,1.91028098277373e-07,0.000487594784609007,44.6271236235909,48.5290472325101,0.273347627730981,1011,947,1597,1996,1347,919
"Kiss1r:NM_053244.5-5","Kiss1r","NM_053244.5-5",1627.93555743759,0.000692692205703087,16.4476868517023,5.0011167273605e-05,0.0344395220255676,50.8030949960177,53.4992918092651,0.173415929766398,1364,1193,2147,2454,1798,1184
"Apba3:XM_006513905.1-1","Apba3","XM_006513905.1-1",70.5714860667431,0.0180913445934126,16.2041731505413,5.68687009870892e-05,0.0375818531284016,9.41708572821517,13.6001357585575,1.0690853120445,44,86,51,107,44,97
"Gm4924:XR_004936349.1-6","Gm4924","XR_004936349.1-6",98.9500069256422,0.00651056502353575,34.4048954463786,4.47596057375806e-09,2.33274857939069e-05,16.3390596784591,11.4455540144537,-1.03913758949541,81,127,123,32,97,124
"Aldh1l2:XM_011243403.4-10","Aldh1l2","XM_011243403.4-10",2535.64085498261,0.000661444129509557,14.5971041412459,0.000133118951667825,0.0653668212433812,63.5027921818909,61.3160421239911,-0.124293853750265,1687,2774,3101,2944,1966,3068
"LOC118567814:XM_036156150.1-1","LOC118567814","XM_036156150.1-1",115.853279909164,0.0067489309572605,32.9130773529756,9.63728000659516e-09,4.33329902351446e-05,15.6405149102269,14.1145235408563,-0.300242281908768,83,104,143,70,161,138
"LOC118567814:XM_036156150.1-2","LOC118567814","XM_036156150.1-2",18.1638205081358,0.0230581832537653,23.537123870154,1.22526649068155e-06,0.00226591298852525,4.06183072756946,7.35112302535563,1.71500627241168,4,27,14,19,8,38
"Nap1l1:XM_036155892.1-1","Nap1l1","XM_036155892.1-1",347.814705267201,0.0238923604293882,14.1570193710146,0.000168168495325837,0.0767749341916403,29.3379649235828,21.1998941664643,-0.97370834035423,341,268,500,161,534,284
"Cpsf6:XR_003948728.1-6","Cpsf6","XR_003948728.1-6",413.174541015932,0.0014326764678585,14.0396656587496,0.000178994763218392,0.0800294384865845,28.6972892098386,26.634465268021,-0.225296538658682,318,463,562,294,414,446
"Timeless:NM_001164081.1-11","Timeless","NM_001164081.1-11",1603.92735714806,0.000342847690829047,15.040752650747,0.000105214494776003,0.0562409489138787,50.3365679808581,52.9372685455765,0.168489552905919,1300,1570,2080,1777,1703,1386
"Cdk2:XM_011243321.4-6","Cdk2","XM_011243321.4-6",531.750538643613,0.00135357115116647,22.763346392662,1.83227196194205e-06,0.00308947997959341,29.3544432469469,33.1271903022445,0.369589194835747,438,558,688,484,595,464
"Itga7:XM_030244914.2-12","Itga7","XM_030244914.2-12",104.307547503909,0.00321642461355545,14.1244921968735,0.000171101410627114,0.0771759541751658,15.4832094938803,12.8067140903414,-0.554325577215184,94,131,169,89,103,50
"Ogdh:NM_001252288.1-1","Ogdh","NM_001252288.1-1",18.2744875583945,0.0320162960938446,13.5069893347236,0.000237676550334355,0.0938090117323115,4.01582232289527,7.17387092936977,1.67725410018704,5,13,6,52,11,30
"Meis1:XR_003949337.2-11","Meis1","XR_003949337.2-11",1798.41289930982,0.000752720311816174,14.217050972526,0.000162887844247761,0.0757663060679909,52.2633321503207,55.1821191506283,0.183748949786111,1199,2154,1895,1755,1306,2544
"Meis1:NM_010789.3-12","Meis1","NM_010789.3-12",1800.41935037726,0.000765985468020428,13.6781799683585,0.000216960783408855,0.089002824701583,52.3080916966341,55.1959922318125,0.181732657313626,1203,2154,1895,1756,1310,2546
"Fam161a:XR_003949516.2-4","Fam161a","XR_003949516.2-4",662.449032658488,0.0023448725978353,16.5455137843134,4.74962190346147e-05,0.0331388366002175,32.1826564224517,36.5962933412026,0.397438362040575,366,863,714,727,525,840
"Sptbn1:XR_004936898.1-1","Sptbn1","XR_004936898.1-1",269.243343162061,0.00179406636482383,30.0547289563137,4.20023003320107e-08,0.00014812581162577,20.3199818072475,24.5229841840721,0.559128841540136,164,268,271,356,208,384
"Sptbn1:XM_006514601.3-1","Sptbn1","XM_006514601.3-1",274.523506840435,0.00177714760216203,31.0185308290453,2.55576633999123e-08,0.00010104795069335,20.4895786365131,24.7615759321999,0.563509230727159,168,278,276,360,210,390
"Ube2b:XM_011248967.2-1","Ube2b","XM_011248967.2-1",108.036615244158,0.0167669823530254,49.617273949201,1.86861189603206e-12,3.57085504625406e-08,18.023426070228,9.76128094617403,-1.78982490769115,123,60,182,50,196,43
"Gm31490:XR_879859.2-2","Gm31490","XR_879859.2-2",59.8849907642634,0.0172447288489637,24.9471816219266,5.89226036942981e-07,0.00118525401655804,10.3641773072133,11.3158983075533,0.255323379042457,42,57,88,80,67,40
"Tnip1:NM_001199276.2-1","Tnip1","NM_001199276.2-1",314.74111592339,0.00857535351067934,17.1727133140522,3.41303818334924e-05,0.0262639014782857,21.1818777103422,26.7413646394079,0.696011516484058,168,418,329,567,169,311
"Tnip1:NM_001199275.2-2","Tnip1","NM_001199275.2-2",168.83864302205,0.00756185665084149,13.3222830816527,0.000262270647381896,0.0997393959784857,19.9219125544876,16.2140804473543,-0.606085636127802,145,122,210,227,221,118
"Tnip1:XM_011249162.1-1","Tnip1","XM_011249162.1-1",168.83864302205,0.00756185665084149,13.3222830816527,0.000262270647381896,0.0997393959784857,19.9219125544857,16.2140804473707,-0.606085636124558,145,122,210,227,221,118
"Epn2:NM_001362587.1-3","Epn2","NM_001362587.1-3",43.1025127180035,0.00794415948599144,15.2249279086728,9.54353169230664e-05,0.0523560888409806,7.68041947847567,10.5089314362855,0.909288707230714,22,52,41,75,30,48
"Gm32483:XR_003949707.1-2","Gm32483","XR_003949707.1-2",410.785492129847,0.00829133052394872,17.1199732698285,3.50913253019791e-05,0.0265577635410846,26.382242341942,28.1982646829318,0.200813481436805,235,422,448,275,273,815
"Rap1gap2:XM_006533622.4-1","Rap1gap2","XM_006533622.4-1",3.68817741996304,0.158236733807291,15.4498452065963,8.47238820206104e-05,0.0482101544301201,4.02396918826062,0.729868540128223,-4.92721395987653,5,0,5,1,11,0
"Smyd4:NM_001102611.1-5","Smyd4","NM_001102611.1-5",1026.28946106186,0.00198156379109667,15.9082832885698,6.64870970011718e-05,0.0417713839340293,44.589067024749,40.4327496907278,-0.313078489030753,796,993,1226,1350,1129,820
"Rhot1:XR_879726.4-8","Rhot1","XR_879726.4-8",771.831764372336,0.000645648089536048,17.188359712866,3.38504184416619e-05,0.0261361702200948,38.5823271946612,35.8761124735358,-0.227454118521296,652,721,1107,804,758,690
"Synrg:XM_006532979.5-8","Synrg","XM_006532979.5-8",300.47380227593,0.00496591180050943,16.0322034650387,6.22741982730022e-05,0.0403403108790163,25.9580660899157,21.7234179698089,-0.53169506035474,256,294,444,273,322,247
"Trim37:XM_011249212.4-25","Trim37","XM_011249212.4-25",218.249426464676,0.00908119036218412,14.1431962635189,0.000169408661850765,0.0767749341916403,22.4470018135211,17.954649497559,-0.660390299630039,241,144,322,232,264,131
"Trim37:NM_001363025.1-25","Trim37","NM_001363025.1-25",218.249426464676,0.00908119036218412,14.1431962635189,0.000169408661850765,0.0767749341916403,22.4470018135211,17.9546494975589,-0.660390299630041,241,144,322,232,264,131
"Gm11496:XR_388949.4-3","Gm11496","XR_388949.4-3",407.358209234711,0.011222146219817,18.2837333220531,1.90325445841744e-05,0.0175279798950383,28.1556817927533,26.6682753549527,-0.163788921277916,316,301,511,442,642,294
"Eme1:NM_001379688.1-4","Eme1","NM_001379688.1-4",50.7234091798924,0.00760286349918477,15.5878964358652,7.87571202079355e-05,0.0458382430903628,8.37175265053409,11.2964041155367,0.86963350476094,25,72,50,83,34,50
"LOC118567867:XR_004937065.1-2","LOC118567867","XR_004937065.1-2",448.946559978513,0.0128636125038332,17.9132631465176,2.31204239703033e-05,0.019636604233978,29.405601413542,27.6530235570247,-0.18611283063257,382,299,561,447,745,314
