"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"3158","Plekha1","115",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3159","Plekha1","116",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216402,1873,1276,2195,2269,1013,2086
"3160","Plekha1","126",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3161","Plekha1","127",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216402,1873,1276,2195,2269,1013,2086
"3162","Plekha1","139",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3163","Plekha1","140",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216404,1873,1276,2195,2269,1013,2086
"3164","Plekha1","152",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3165","Plekha1","153",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216404,1873,1276,2195,2269,1013,2086
"3166","Plekha1","163",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3167","Plekha1","164",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216402,1873,1276,2195,2269,1013,2086
"3168","Plekha1","176",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3169","Plekha1","177",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216404,1873,1276,2195,2269,1013,2086
"3170","Plekha1","189",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3171","Plekha1","190",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216404,1873,1276,2195,2269,1013,2086
"3172","Plekha1","202",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
"3173","Plekha1","203",1763.8133400564,0.00210401874093424,37.7789508755546,7.92320896393574e-10,1.79877076237175e-06,60.8784342391832,52.9844063861959,-0.444506862216402,1873,1276,2195,2269,1013,2086
"3174","Plekha1","212",2055.80950479308,0.0031813231283516,28.0553688672754,1.17893587491483e-07,0.000116162187503949,65.4133007631111,56.5463886359242,-0.472803613876287,2274,1444,2628,2521,1237,2368
