"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"Rgs20:6","Rgs20","6",1026.70127306224,0.00100603417433764,15.8664753080062,6.79721827837788e-05,0.0183785972231498,46.5055599083758,42.6729505208844,-0.264951360857649,1141,900,941,1149,1038,1119
"Rgs20:12","Rgs20","12",1026.70127306224,0.00100603417433764,15.8664753080062,6.79721827837788e-05,0.0183785972231498,46.5055599083758,42.6729505208844,-0.264951360857649,1141,900,941,1149,1038,1119
"Rgs20:19","Rgs20","19",1026.70127306224,0.00100603417433764,15.8664753080062,6.79721827837788e-05,0.0183785972231498,46.5055599083758,42.6729505208844,-0.264951360857649,1141,900,941,1149,1038,1119
"Rgs20:24","Rgs20","24",1026.70127306224,0.00100603417433764,15.8664753080062,6.79721827837788e-05,0.0183785972231498,46.5055599083758,42.6729505208844,-0.264951360857649,1141,900,941,1149,1038,1119
"Rgs20:29","Rgs20","29",1026.70127306224,0.00100603417433764,15.8664753080062,6.79721827837788e-05,0.0183785972231498,46.5055599083758,42.6729505208844,-0.264951360857649,1141,900,941,1149,1038,1119
"Rgs20:34","Rgs20","34",1026.70127306224,0.00100603417433764,15.8664753080062,6.79721827837788e-05,0.0183785972231498,46.5055599083758,42.6729505208844,-0.264951360857649,1141,900,941,1149,1038,1119
"St18:24","St18","24",46.2319423565387,0.00751578934831942,19.9141665472633,8.09978999391547e-06,0.0034752195312914,9.64501715359279,5.98595506478586,-1.37925127031298,81,13,83,90,6,10
"St18:47","St18","47",46.2319423565387,0.00751578934831942,19.9141665472633,8.09978999391547e-06,0.0034752195312914,9.64501715359279,5.98595506478586,-1.37925127031298,81,13,83,90,6,10
"St18:71","St18","71",46.2319423565387,0.00751578934831942,19.9141665472633,8.09978999391547e-06,0.0034752195312914,9.64501715359279,5.98595506478586,-1.37925127031298,81,13,83,90,6,10
"St18:94","St18","94",46.2319423565387,0.00751578934831942,19.9141665472633,8.09978999391547e-06,0.0034752195312914,9.64501715359279,5.98595506478586,-1.37925127031298,81,13,83,90,6,10
