"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Ccl21b",552.000941080322,0.389112354786407,0.196857825857245,0.00163375687752016,0.0339312337240566,727,303,444,547,382,699,492,808,355,946,454,667
"4930578G10Rik",503.147479253968,0.443739680960072,0.235543983839478,0.00130547741583869,0.0292584746110221,705,246,387,463,332,651,450,735,320,890,415,629
"Atp8b5",15.8102138583707,0.596615974491376,0.73093314560771,0.00229035020751113,0.0426980735669007,15,4,57,8,10,5,18,30,8,21,6,12
"Tmem8b",832.389535361662,0.385343752188002,0.205174293475605,0.00208241513695598,0.0400290826750398,626,711,1439,1114,423,640,581,1099,441,1364,734,1172
"Reck",2065.26212184668,0.379068115657763,0.212175758505497,0.00265033358806905,0.0470419743253249,2295,1440,2903,2350,1461,1923,1785,3406,1491,2598,1307,2413
"Nr4a3",1388.59092224867,0.665319394874178,0.295010579964592,0.000175400719715257,0.00722686399715692,1886,434,779,778,1419,2056,2122,2915,1728,954,350,1270
"Gm22042",17.0629380669846,-0.589535690251722,0.55890682477116,0.00276963129275575,0.048737385863463,8,22,6,26,16,8,24,8,26,12,36,12
"Mexis",291.211364706801,1.04968682790462,0.223330518288327,3.6693718120285e-08,9.97824508084283e-06,117,218,571,369,155,128,168,249,143,808,239,525
"Ctnnal1",1195.98498336281,0.474847501783794,0.167757480884988,9.14801160652117e-05,0.0044849446325721,1743,608,1251,1118,1093,1442,1188,1767,1079,1386,707,1133
"Gm25053",132.544548366657,-0.908725826355939,0.412386274044432,0.000129691248291933,0.0057752249102925,37,128,61,198,216,91,176,86,146,119,270,79
"Susd1",452.284041856171,0.561705685269028,0.364402363650799,0.00145031512256311,0.031194704450457,406,270,879,380,243,412,302,998,290,614,322,475
"Snx30",2848.44692902043,0.321066977971446,0.13562767186648,0.00118443396713559,0.0273573394787434,3338,1643,2728,2872,2679,3239,3101,4920,2527,3125,1789,2812
"LOC108168693",30.5540152697489,1.72620817003198,0.423978812477112,2.60068165577592e-07,4.77845967293243e-05,32,14,56,21,8,43,4,45,8,72,10,70
"Lurap1l",2869.67980291857,-0.450356953971732,0.213905353053206,0.000751090337106152,0.01990819633553,2440,2524,2200,4063,3375,2024,3528,3795,2674,2996,3820,1629
"Sh3gl2",587.582484575339,0.385053778473706,0.166402146910105,0.00077215107107179,0.0203726016746561,636,349,560,659,496,714,617,860,483,761,364,707
"Gm49890",11.6514287723798,1.02017757582368,1.21641340875443,0.000375895855313145,0.0125472929118029,4,0,10,2,14,22,16,10,17,10,2,32
"Dmrta1",353.552234989337,0.513246323312671,0.371966562306741,0.0024918735155598,0.0451138823525781,502,181,591,253,295,409,280,775,233,263,165,341
"Cyp2j6",445.596745958385,0.547229189892218,0.379034590761473,0.00188586431718063,0.0374012121677673,365,204,883,426,324,423,254,987,277,553,338,492
"E130102H24Rik",49.7536073371882,1.04163719133746,0.619296509717058,0.000268546910237904,0.00975246564957578,52,16,61,21,32,56,65,104,46,30,18,103
"Pde4b",2693.03623952769,0.53610326377728,0.190466324655932,6.1851773443761e-05,0.00336391178502802,3453,1543,2944,2453,2153,2407,2275,4999,1843,4156,2038,3016
"Ttc22",46.934775047071,0.774385284065075,0.444545195676095,0.000481215259853977,0.0148029943057645,44,24,70,61,18,38,14,32,22,140,40,94
"Acot11",1236.64590839953,0.416543082233523,0.225506195780225,0.00172766996654138,0.0354030264612708,780,1093,2572,1900,591,855,699,1219,565,1872,1135,2080
"Gm31125",22.2649466592465,-0.827389584142909,0.665604343943005,0.000877923147230834,0.022522317720469,16,25,12,35,33,9,28,12,31,3,46,14
"Dmrtb1",27.7162555662195,1.43471658026552,1.03354546442973,0.000120309074712767,0.00542854774063472,34,10,46,16,0,38,10,30,4,90,0,74
"Slc1a7",69.4948310592628,1.16486736638725,0.524283278818725,8.10879612320221e-05,0.00413447242331772,62,22,82,72,22,89,54,47,28,181,42,178
"Rab3b",458.201458564702,-0.504526694573423,0.233006806056789,0.000450796367966812,0.0141012146084097,291,548,521,940,265,303,261,327,263,639,971,366
