"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Fam163b",56.3771897687654,0.946878507390041,1.22931032099445,0.000429955788297941,0.0135323276270625,206,5,18,16,10,68,6,26,7,322,2,38
"Dbh",13058.6749425689,0.876135385758575,0.350543838959016,6.34302886235711e-05,0.00343146083946348,14462,6927,13682,11286,5594,20737,10794,24116,8368,28128,5207,13386
"Gm13373",17.8737567796653,0.78708342517541,0.909060452211839,0.000929467807005965,0.0234320097946683,26,2,8,10,8,28,16,4,10,67,4,43
"Gbgt1",350.763594040436,2.71673326139471,0.800910702823215,3.34307189694844e-07,5.87775442571236e-05,580,64,557,130,18,645,75,619,58,580,16,1006
"Gm30761",245.431013666719,-0.61892000055475,0.223605962785045,4.61549074202373e-05,0.00270496935872339,66,374,352,660,85,75,101,84,78,336,607,271
"Ier5l",5435.79008277792,-0.603304396867644,0.183630033541406,8.94762404294943e-06,0.000763543064250852,3883,5480,4151,8983,5682,3698,5789,5743,4507,6587,8599,3753
"Gm32316",86.5470675007331,0.729546097298863,0.301046404330772,9.42235778479431e-05,0.0045863720052716,80,47,103,72,102,92,100,112,75,107,44,118
"Ptges",250.138407058309,0.9038619579054,0.306440258122954,1.73842140711176e-05,0.00125283055116765,216,171,518,218,84,251,126,320,122,556,220,307
"Ass1",30078.5306271706,-0.745004257503459,0.454382904721936,0.000644661114765447,0.0180107718296456,11553,34453,27385,59756,32465,10556,35506,33036,26919,28938,60700,9927
"Sh2d3c",2144.72114837857,-0.611868453093146,0.13306200442861,3.56307804247681e-08,9.82013198328576e-06,1514,2586,1920,4175,1708,1257,1751,2132,1545,2464,3342,2091
"Garnl3",22799.408896106,-1.52577397851849,0.193184888865393,1.29947237935821e-16,2.40933992518279e-13,11367,24664,8116,42236,34976,11833,33271,12957,27342,18265,40535,10774
"Angptl2",10772.317224225,-1.15805125675126,0.195803215477504,1.20429826689303e-10,7.92311714622041e-08,7020,10313,4665,15744,17252,7202,17111,8147,13717,9230,14687,4458
"Crb2",7205.39470166704,-0.286045057885687,0.132522407431286,0.00274685719329082,0.0484201836276287,6962,5657,4814,9556,8565,6527,8855,8474,7354,8235,7645,5073
"Lhx2",3158.18915286541,0.251874704457503,0.0907870676136686,0.000659569799972325,0.0182770734652657,3111,2311,3154,3614,2640,3382,2876,4142,2357,4481,2956,3763
"Olfml2a",29.4331406253468,1.30892934169617,0.497312264471705,2.76226488975498e-05,0.0018293266408409,24,12,52,18,10,31,21,28,22,56,20,69
"Rnd3",596.699180714353,0.51197466900814,0.363769211860379,0.00237772526123456,0.0437274181270323,750,328,938,598,358,467,511,1336,448,702,254,676
"Cytip",79.1941473100429,0.607066112444438,0.409219882408285,0.00137214778756064,0.0302213327508631,99,58,105,70,48,86,76,70,62,143,32,116
"Cobll1",1192.15374387875,0.571421572966582,0.175151301854088,1.16139840108475e-05,0.000900635756278457,1535,742,1649,1284,790,1226,914,1872,728,1742,850,1356
"Scn3a",437.496432099026,0.668087384032353,0.470960507386269,0.00125578849142557,0.0286476198263216,827,183,251,243,329,771,409,488,341,375,162,852
"Galnt3",398.004060823317,1.03068591380239,0.286742438579309,2.50205003503887e-06,0.000285079946729709,380,233,730,421,301,319,185,310,210,650,311,856
"Slc25a12",14534.3707130137,-0.354671730790618,0.114739491229008,0.000110009712708822,0.00507612690202813,11440,13500,12633,23472,13468,11893,15256,15029,11813,18419,19623,12274
"Dlx2",3252.53540290267,-0.77259976161321,0.248851730907396,1.07591853044251e-05,0.000857162438608394,2350,2240,1756,3349,5598,2971,5656,4874,4418,1559,2887,1199
"Sp9",981.593338552395,0.799347155728334,0.286492664339683,2.90536579499517e-05,0.00190262545928036,1037,592,1175,820,842,1366,861,1429,797,1130,407,1459
"Gpr155",2106.99859678163,0.500868983783573,0.204656265272108,0.000222239457663634,0.00853936018554346,2426,1236,2781,2119,1707,2280,2020,3138,1757,2212,1366,2615
"Evx2",63.7705923855686,-2.90548518135406,0.456877912094839,1.17782679937499e-13,1.60145183821686e-10,11,73,13,137,130,23,127,40,100,6,88,15
