"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Gm26206",0,NA,NA,NA,NA,0,0,0,0,0,0
"Xkr4",2.09126310121349,-0.0115957740896687,0.157017135253138,0.0858909177764562,NA,8,0,0,0,2,0
"LOC118567655",0,NA,NA,NA,NA,0,0,0,0,0,0
"Rp1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Sox17",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm22307",3.90116935635745,0.00172680702119882,0.155631633346876,0.916691652314269,NA,2,2,3,12,6,0
"Gm37323",2.32703001646682,-0.010151678018438,0.15668125409304,0.280469599539653,NA,0,2,2,0,10,0
"Gm39586",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm46082",7.79455287182737,0.0130326970403999,0.155062195144884,0.613946597284794,0.882759156053676,4,7,9,6,7,15
"Gm29874",0.162188370265155,0.0030164267285396,0.156425427259905,0.829882553921128,NA,0,0,0,0,0,1
"Mrpl15",39652.1293114105,-0.154273982579754,0.191639400007998,0.106243699327316,0.559311534807387,32365,28567,53377,53028,48846,28392
"Lypla1",27142.6445539274,-0.0427969480858375,0.118329214124701,0.570284640234918,0.868381305180243,21012,25055,37099,32369,26625,24939
"LOC118567656",32.8906918947772,-0.00162171244802293,0.150109354867737,0.967134937454383,0.991983571456322,12,31,56,40,38,32
"Tcea1",69671.1991931502,-0.0104022716675013,0.114347470986537,0.879789910211741,0.969136893318764,52561,66882,92783,77019,66972,71685
"Rgs20",1703.04862860328,-0.119580692184914,0.154253767638966,0.171573289596683,0.643017235342994,1608,1439,2313,1648,1618,1721
"Gm16041",0,NA,NA,NA,NA,0,0,0,0,0,0
"Atp6v1h",47481.5199389868,0.00951407896804807,0.115056089266807,0.847416576133889,0.958771173837655,34880,44201,63219,60081,44066,46752
"Oprk1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Npbwr1",19.2662890830289,0.003191130711711,0.155449442907621,0.860534923637267,0.962391968665136,22,2,28,0,2,62
"Gm46206",2.13903231771011,0.00792770501340742,0.156293871904532,0.511110361442268,NA,0,0,2,4,2,6
"Rb1cc1",11579.7205237643,0.0527208591730374,0.152657884070544,0.41951270766671,0.808909272160953,9241,15102,12917,7124,8858,16128
"Alkal1",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"St18",58.5204860159675,0.00134906635488062,0.15571507292276,0.936923414569636,0.984827422715623,82,64,76,52,0,72
"Pcmtd1",3703.42955962373,0.0986129407152101,0.18604641776403,0.0961927299132713,0.540568197029155,2613,5473,3333,1994,2486,6163
"Gm23274",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm26901",72.2312714619937,0.0471937078378562,0.152106602326355,0.425140368222312,0.812071388442225,40,70,84,79,74,99
"Gm39589",0,NA,NA,NA,NA,0,0,0,0,0,0
"Sntg1",0.569650068769145,-0.00433600413575426,0.15649474475781,0.503191304400476,NA,2,0,1,0,0,0
"Gm30719",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm24765",0,NA,NA,NA,NA,0,0,0,0,0,0
"Rrs1",29399.6766698465,0.0298154685308499,0.127741752965258,0.703043206023429,0.914636472956663,23352,33975,36554,31079,25610,28382
"Adhfe1",216.587452584769,-0.0177233337462349,0.140320749333523,0.77665028682051,0.938194061387022,148,260,297,180,234,203
"2610203C22Rik",601.125585513089,0.129752787770947,0.164926030726651,0.148046431837659,0.614284029651571,438,572,662,718,502,791
"Vxn",6.01166929852073,-0.0214569720370641,0.157904934531457,0.172562038675872,0.644043047095494,18,2,4,6,2,0
"Mybl1",6832.52876099957,-0.00412789478511967,0.144550834756517,0.936758694349455,0.984827422715623,5897,7795,7211,3269,7109,9328
"Vcpip1",18723.2298584541,0.0584111844730078,0.150699529974782,0.386587267013708,0.793779038447922,14304,22845,21918,13526,14629,25792
"1700034P13Rik",52.0179361771528,-0.0259405291652194,0.151360825895903,0.579516913674435,0.870922391574162,67,33,57,57,37,59
"Gm39590",11.2342173186763,0.0050876069538171,0.153914087964846,0.85925143770237,0.961950436637086,7,16,17,17,9,4
"Sgk3",1.4176970035462,-0.00169817037680229,0.156257547162088,0.82482241971904,NA,4,3,0,0,0,0
"Gm6195",4.62690338713849,0.015165470884545,0.156134123358058,0.466709894867088,NA,2,8,4,4,4,6
"Mcmdc2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Snhg6",5568.39821565041,0.0048727419552517,0.135105212043023,0.947297789794392,0.987821568290656,4269,6518,7164,4259,5216,6321
"Snord87",117.125616225214,0.0577730283100291,0.161576061756656,0.261286682738496,0.724016320710162,74,188,127,67,91,156
"Tcf24",3.44649602743197,0.0174764899424049,0.157209878758279,0.249049725774182,NA,1,8,4,2,0,6
"Ppp1r42",21.5879664080968,0.0349654269317312,0.158327207213923,0.299482649638013,0.749480770183731,18,38,14,12,14,30
"LOC115487608",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"Cops5",49136.9416462482,-0.0951631187366987,0.145285887565597,0.253834828799428,0.71701398477014,37986,38358,66315,64735,55812,40407
"Cspp1",2682.94847657665,0.0568550767833492,0.15354000033221,0.369336649618971,0.78621064622584,2190,3408,2994,1797,1926,3777
"Arfgef1",22486.0176756487,0.0272296343820717,0.142517491187915,0.6705150789202,0.904018467699904,19297,27489,27976,15771,16513,28231
"Cpa6",0.456296082320752,0.00164235949404468,0.156345602474472,0.837770865677156,NA,0,0,1,0,0,2
"Gm25253",0,NA,NA,NA,NA,0,0,0,0,0,0
"Prex2",0.701569410559588,-0.00506005721698736,0.156524102109352,0.424584049415733,NA,2,0,2,0,0,0
"Gm24173",0,NA,NA,NA,NA,0,0,0,0,0,0
"A830018L16Rik",3.0064400836068,-0.00990921840697755,0.156516678904567,0.380307783431322,NA,10,2,1,0,0,2
"Gm30898",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm30974",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm22633",2.33180419223836,-0.000471772243538148,0.156053984155203,0.96352923323133,NA,0,0,4,8,4,0
"Gm39591",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir6341",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm17644",0,NA,NA,NA,NA,0,0,0,0,0,0
"Sulf1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Slco5a1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39592",0,NA,NA,NA,NA,0,0,0,0,0,0
"Prdm14",3.45267613339638,1.09901348636216e-05,0.155333689659448,0.998468683097441,NA,4,3,4,6,2,2
"Ncoa2",18833.4821972372,0.0392064927556874,0.126973352972287,0.678472708376836,0.906742265076611,14774,17284,23613,19741,16435,23380
"Gm23169",0.502528563563837,-0.001529034261554,0.156342969368432,0.807313289990188,NA,0,0,0,0,2,1
"Gm39595",37.3371578943133,-0.00432129774566287,0.152096497908839,0.901321618969499,0.976782974861444,33,66,58,17,25,24
"Tram1",33036.5702579574,0.00275066445640731,0.117742273741955,0.976744995670601,0.994040709630251,25379,33689,43522,38903,30513,30803
"Lactb2",6504.72854389204,0.148773177408358,0.174620759914816,0.11570644955584,0.577061522925399,4383,8036,7491,6919,5469,7414
"Xkr9",1.21354447408461,0.00101575530815264,0.156184315329689,0.910994302226598,NA,0,2,4,0,0,2
"Gm26273",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm5523",148.803765669166,-0.0750753441450003,0.17123985522374,0.163517402476137,0.632816779568869,89,65,229,231,237,90
"Gm31195",2.78051530607043,-0.000275307637718868,0.155873624389654,0.981104842438818,NA,0,3,8,6,2,0
"Gm39596",0,NA,NA,NA,NA,0,0,0,0,0,0
"Eya1",5.62663165128036,0.041106152619025,0.164095530831946,0.00959329615789768,0.174545994274083,0,14,2,4,0,14
"Msc",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm9947",0,NA,NA,NA,NA,0,0,0,0,0,0
"Trpa1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Kcnb2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51616",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51617",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm25168",0,NA,NA,NA,NA,0,0,0,0,0,0
"Terf1",2195.63145726507,0.0179123693538324,0.139645074179774,0.770399205168064,0.936514238741897,1615,2795,2867,1564,1956,2505
"Sbspon",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"Gm31523",0.180745183196264,0.00310074612523339,0.156428548376499,0.829882553921129,NA,0,1,0,0,0,0
"4930444P10Rik",4.07354023549603,0.0187520635534964,0.157150890425405,0.289419934447573,NA,0,6,3,9,4,4
"Rpl7",262404.227018559,-0.160839936062009,0.164896128340001,0.0952493645349383,0.538696438066777,198951,222167,370415,299726,311002,214727
"Rdh10",3042.55799070603,0.00371640763197661,0.118180794012223,0.967283878579519,0.991983571456322,2358,2915,4139,3476,2675,3146
"Stau2",11758.1164204065,-0.13817718385695,0.150871272902039,0.131560760371719,0.596363962200439,9172,9399,17021,14040,12785,10230
"Gm7568",0,NA,NA,NA,NA,0,0,0,0,0,0
"C130013N14Rik",16.2642805719493,0.011833910715989,0.154626578117968,0.667000625853085,0.902660222997269,8,19,17,3,18,33
"Ube2w",11809.5746362137,0.0594889501856714,0.137167904246838,0.443269701016661,0.819399421453972,9198,13184,14630,11576,9480,13840
"Eloc",16398.0829900122,0.0628994629606578,0.14417541029579,0.399335024588492,0.798394212345215,13149,19078,18735,14598,13233,20338
"D030040B21Rik",8.14479034783293,0.0228649154061685,0.157376013281961,0.296895214483207,0.748123139570318,6,14,2,3,6,16
"Tmem70",8412.48361391725,-0.00481056683796225,0.125590956316671,0.942385435083042,0.986113956793067,6670,8969,11025,7923,7722,8943
"Ly96",145.667932489479,0.0977004801751174,0.179368911029002,0.147456532302013,0.613752290620693,93,150,166,132,105,246
"LOC118567657",20.109813777978,0.0828518863212706,0.185359962876158,0.0328816701835161,0.333828601438445,6,15,16,33,12,45
"Jph1",0.653004718285388,-0.00284267312900063,0.156333321693185,0.664855384402454,NA,0,1,1,0,2,0
"Gm46085",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm31982",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gdap1",3311.22394784645,0.0688340791221145,0.145174165505326,0.359253660829158,0.781530490516201,2404,4164,4144,4202,2672,2719
"Gm28784",1.85967327370008,0.0154262585030212,0.15730984288241,0.136270914030054,NA,0,4,1,6,0,1
"Gm39597",0,NA,NA,NA,NA,0,0,0,0,0,0
"Pi15",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm28154",0.131919341790442,-0.00307471390746001,0.156428808187635,0.79752438517304,NA,0,0,1,0,0,0
"Gm16070",0,NA,NA,NA,NA,0,0,0,0,0,0
"Crispld1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Crisp4",0,NA,NA,NA,NA,0,0,0,0,0,0
"Defb44-ps",0,NA,NA,NA,NA,0,0,0,0,0,0
"Defb18",0.421292414429711,0.00405263010375001,0.156473628606642,0.585321688311165,NA,0,0,0,3,0,0
"Defb41",29.6308998148897,0.00532659007419363,0.15656778466826,NA,NA,0,0,0,211,0,0
"Gm28343",2.98881216740883,0.00629116787146158,0.156032778572474,0.650214309424912,NA,0,4,8,4,0,4
"Gm15825",0,NA,NA,NA,NA,0,0,0,0,0,0
"Tfap2d",0.574439585040129,-0.00287493941420398,0.156349200686249,0.700034558643247,NA,0,0,2,1,1,0
"Tfap2b",0.218865363489352,-0.00344134280471437,0.156443766188497,0.79752438517304,NA,1,0,0,0,0,0
"Gm32651",0,NA,NA,NA,NA,0,0,0,0,0,0
"Pkhd1",0.842261364501114,0.00133983605304177,0.1562535988122,0.861586068303165,NA,0,2,0,1,2,0
"4930486I03Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm24162",0,NA,NA,NA,NA,0,0,0,0,0,0
"Lincmd1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir206",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir133b",0,NA,NA,NA,NA,0,0,0,0,0,0
"Il17a",0,NA,NA,NA,NA,0,0,0,0,0,0
"Il17f",228.06589428075,-0.0898298805765183,0.167524344712327,0.205582819462194,0.673816267548137,218,137,264,313,276,184
"Mcm3",80996.7257777531,-0.112148749223292,0.172858175123316,0.202768998666953,0.672611854880242,63065,52015,107915,117964,100859,60593
"Gm24723",0,NA,NA,NA,NA,0,0,0,0,0,0
"6720483E21Rik",140.671322726375,0.131987085650353,0.203250697048356,0.0932104682530225,0.53391127090137,80,122,151,173,118,227
"Paqr8",3185.91532756707,-0.0512155405647467,0.146683994789957,0.449072851188062,0.82230712210546,2606,1703,4414,3288,3305,4324
"Gm24171",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51618",3.42886108265065,-0.00213532392911401,0.155641531443767,0.891141870176988,NA,1,5,7,5,4,0
"Efhc1",369.589875410448,0.13084604028225,0.206468193924158,0.0860509779202925,0.518823316343891,235,584,381,303,276,449
"Tram2",305.125195047337,0.010136596153131,0.140543931940605,0.873379736749533,0.966930748760145,250,403,401,250,248,292
"Tmem14a",1010.75096571669,0.0695212808748923,0.14016715766325,0.378562785550511,0.791036675233719,704,1119,1199,1001,934,1213
"Gm32947",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm28836",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gsta3",1640.52783339743,0.716345991876009,0.278288982945748,0.000494752067265167,0.0260165629598227,936,1935,1500,1838,1036,2797
"Gm7094",17.2292769319338,0.0118144614473373,0.153726779524242,0.709814491924203,0.916397738944889,16,30,12,10,16,16
"Gm4956",0,NA,NA,NA,NA,0,0,0,0,0,0
"Khdc1a",0,NA,NA,NA,NA,0,0,0,0,0,0
"Khdc1c",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33147",0,NA,NA,NA,NA,0,0,0,0,0,0
"Khdc1b",0,NA,NA,NA,NA,0,0,0,0,0,0
"Kcnq5",905.322556046274,-0.0314981670894271,0.128429992708411,0.676083335554434,0.905923300308777,792,887,1160,890,824,946
"LOC118567719",0.170170096649341,-0.00326087998036499,0.15643595490965,0.79752438517304,NA,0,0,0,0,1,0
"Rims1",4.36588183060787,-0.0108694349226856,0.156485670985425,0.400258890082924,NA,12,0,2,0,2,7
"Gm7759",0.218865363489352,-0.00344134280471437,0.156443766188497,0.79752438517304,NA,1,0,0,0,0,0
"Ppp1r14bl",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm30442",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm29506",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"LOC118567721",253.289198421395,0.0907909145275346,0.186198584108111,0.0783579194866416,0.501958125992449,171,405,234,112,128,458
"Mir30a",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir30c-2",0.580355729881879,0.00108186800221502,0.15633268417507,0.8108729049018,NA,1,2,0,0,0,0
"Ogfrl1",4483.08152543084,0.691814806443243,0.291814013134668,0.000821907019507515,0.0365286998209486,2779,5398,4140,4988,2545,7519
"Gm19673",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm28822",0,NA,NA,NA,NA,0,0,0,0,0,0
"B3gat2",23.8593637740853,0.00351906946369238,0.152971591056391,0.916061158412442,0.979888634533347,16,15,18,56,34,10
"Smap1",24333.5651010203,-0.0373081352092324,0.120198758427548,0.63399774342914,0.890412463185067,18785,20034,31884,31478,24716,23236
"Gm53062",0.580355729881879,0.00108186800221502,0.15633268417507,0.8108729049018,NA,1,2,0,0,0,0
"Sdhaf4",2856.28261022627,0.00630473403089998,0.118381844697815,0.939321779215196,0.98489039834152,2160,2958,3622,3239,2766,2747
"Fam135a",6911.30680097056,0.148136908510218,0.242289186239019,0.0425795730161346,0.379532996176581,4871,10544,6176,4180,3833,11625
"Col9a1",1.50478410023683,-0.00251323609594934,0.156106693540075,0.812012288217862,NA,1,0,0,2,4,2
"Col19a1",6.97881491983464,-0.0143167502796759,0.155210426687832,0.576177232205072,0.869829379850543,7,5,8,7,9,6
"Gm26418",0,NA,NA,NA,NA,0,0,0,0,0,0
"Lmbrd1",10315.364569941,0.0140789439856614,0.11458421399583,0.859020812947021,0.961950436637086,7713,9982,13478,11731,9628,10847
"Gm29414",0,NA,NA,NA,NA,0,0,0,0,0,0
"Adgrb3",3.6571200292331,-0.0209566405569695,0.158066412233315,0.110347309512821,NA,12,0,3,1,1,2
"Gm20172",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
"Gm22260",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm25294",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm9884",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39614",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm31076",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm31136",0,NA,NA,NA,NA,0,0,0,0,0,0
"4931408C20Rik",6.57127601176351,0.0220081034416899,0.15723376419745,0.307247775550043,0.754637819254548,7,6,2,10,2,12
"Gm5524",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm597",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm45942",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm6462",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir6342",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm31465",2.13384168135469,0.00835067146207465,0.156497731052826,0.379904922700578,NA,2,4,0,0,0,6
"Gm31525",4.4531675475109,0.0140366003384391,0.15669219867052,0.343906539803758,NA,4,2,0,2,2,16
"Gm39615",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm31581",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm46086",0.869077033731002,0.00291067142097793,0.156282763538712,0.72353008234942,NA,0,0,2,2,0,2
"LOC115487655",0,NA,NA,NA,NA,0,0,0,0,0,0
"Phf3",21595.7079730574,0.0244463411660939,0.135082040239753,0.731271708543271,0.925026058571553,17467,23735,26696,17855,18369,26684
"Ptp4a1",54803.9362888093,-0.0093610914386199,0.11948576263343,0.901107153297985,0.976782974861444,42363,47002,72505,59255,51613,63924
"LOC115487084",100.055704767604,-0.230138634434442,0.477792855396518,0.0125486042162903,0.2009019165803,110,30,175,69,121,106
"Gm29669",0.718592336598511,-0.000948906125399448,0.156312958980987,0.882026330563955,NA,2,0,0,2,0,0
"Gm28644",0.75040379437635,0.00141253927439546,0.156313775282785,0.837121750339178,NA,0,0,2,0,0,3
"4931428L18Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Lgsn",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"Dnaaf6",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm26145",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm4850",0.527677367161769,-0.00432601592240608,0.156493874920783,0.513609036760449,NA,0,0,4,0,0,0
"LOC115487662",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm23032",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51754",0,NA,NA,NA,NA,0,0,0,0,0,0
"Khdrbs2",64.9066996273066,0.076715049280577,0.170641461030945,0.176513533413605,0.647965292580336,44,57,64,68,48,116
"Gm25814",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm9839",0.180745183196264,0.00310074612523339,0.156428548376499,0.829882553921129,NA,0,1,0,0,0,0
"Gm5415",0.342933553461419,0.00383251074273436,0.156460931596145,0.644862095412485,NA,0,1,0,0,0,1
"Gm24732",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39616",1.51783051479162,0.00740509579923585,0.156473037774202,0.414106746436278,NA,0,0,2,2,0,6
"Gm24901",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39617",1.25399183121074,0.00808328506083675,0.156693217403425,0.219062240891068,NA,0,0,0,2,0,6
"Gm25792",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm23453",0,NA,NA,NA,NA,0,0,0,0,0,0
"Prim2",11977.8178899197,-0.094176552718922,0.139165130300064,0.265969191755252,0.727483047495072,9491,9223,16084,15336,13095,10665
"1700001G17Rik",342.337295703162,-0.156095461525983,0.217562397298522,0.0765302860876389,0.496785980774307,281,182,447,389,474,331
"Gm32229",180.332156912125,0.0123642577169539,0.136657370207637,0.85567771394539,0.961318461019927,149,188,232,177,149,203
"Rab23",10599.3942026183,0.0920197414541553,0.134256792658396,0.277010071257344,0.734004384273322,7659,10995,12765,11830,9291,12390
"Bag2",4701.6774304465,0.0228811315844938,0.131846789386891,0.75490621178619,0.931612619553235,3281,5709,5902,5426,4666,3805
"Zfp451",10689.744102441,0.0644837154000984,0.135687741342587,0.414806808483001,0.806734367284325,7976,11337,12957,10581,9239,13118
"Gm15455",182.935846537208,-0.113550385702641,0.19170537799216,0.109674711999537,0.565879939792628,100,126,278,194,294,150
"Bend6",1113.11721394381,-0.0278445244095454,0.139385671341786,0.675875396501346,0.905881845551012,922,1361,1477,842,1073,1046
"Gm38471",63.9346794103988,-0.0526152047173719,0.157315019310717,0.332607005288436,0.767817620806708,48,70,91,64,81,37
"Dst",46511.8207847147,0.145167218375466,0.205940288696791,0.0910827735743059,0.531264102125947,32613,58333,52382,39668,31560,67694
"LOC118567732",71.311129731443,-0.103064305669213,0.183941771973211,0.128509606356013,0.594014838804198,63,63,122,62,72,56
"Mir6896",1.40811183079565,0.00678210252176385,0.156430078695508,0.451884361600944,NA,0,4,2,3,0,0
"Gm51742",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm26788",1.79820872221987,0.0088762269069045,0.15637111174469,0.461627826342248,NA,0,1,1,7,2,1
"Gm3052",2.2394906251745,-0.00185815307553736,0.155974530730519,0.876908371618927,NA,2,2,6,0,0,4
"LOC118567733",2.57729037715013,0.00461598322133605,0.155676049847083,0.779538273755006,NA,1,4,4,2,2,3
"Mir5103",0.162188370265155,0.0030164267285396,0.156425427259905,0.829882553921128,NA,0,0,0,0,0,1
"n-TEttc1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Ccdc115",11521.498423081,0.05204797021484,0.122957139474286,0.516572354478077,0.846031935358374,8337,10547,13576,15888,11251,11430
"Imp4",28226.8956577313,-0.0873613202529046,0.143455900173345,0.293353560766346,0.746562400803797,22064,22914,36042,37118,32930,22723
"Gm32504",2.74333981114051,0.0158133789423603,0.156985719224474,0.280853834097917,NA,0,4,2,2,2,7
"Ptpn18",996.916091436147,-0.10103387098729,0.168972547965378,0.231155309224138,0.698601951429432,732,715,1235,1392,1367,718
"LOC118567734",46.3496754632815,-0.0551392324532222,0.158444352882077,0.312352987929413,0.758931134086445,31,37,78,48,55,40
"4930568A12Rik",38.4388224944925,-0.23453880208579,0.522077751986179,0.010761198546683,0.185596562931507,33,20,76,32,54,24
"Gm32566",3.8976659603315,-0.0115578746151875,0.156478870385718,0.40099871825503,NA,5,6,4,0,7,0
"Prss39",1.04296907712882,0.00157021897544241,0.15622782539101,0.848555475200279,NA,2,0,0,2,0,2
"Cfc1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Prss40",0.544700293200692,7.42387368795593e-05,0.156316537417371,0.998622716833875,NA,0,0,2,2,0,0
"Amer3",0.437730726978703,-0.00412998642575938,0.156480519528188,0.572330457166888,NA,2,0,0,0,0,0
"AA619741",0.974504170649865,0.00446152291458873,0.156427921176213,0.518762522108133,NA,0,0,1,6,0,0
"Gm38647",2.22712205280167,0.012230195949136,0.15708142496821,0.0776566132315502,NA,0,0,0,2,0,12
"Arhgef4",2408.12521240244,0.0713245589233905,0.13983234671124,0.369147319575928,0.78621064622584,1758,2177,2924,3771,2070,2234
"Gm32920",3.9300872146447,-0.00822985959899915,0.156151743166694,0.55118362518156,NA,4,0,3,0,8,8
"Gm32790",163.1259621852,0.0567322973713016,0.148416090253094,0.408785024900689,0.804294212983948,133,131,168,210,139,216
"Fam168b",42886.2757471551,-0.0306564353195238,0.114896945451022,0.692517581531578,0.91149059520065,33446,41048,55670,48415,42669,41575
"Plekhb2",33699.6298701945,-0.0263975378859361,0.140089259305687,0.685559138488552,0.909753697728906,25071,21549,42001,56898,38255,26369
"LOC118567735",0.852054107692079,-0.00142094742850137,0.156300492165614,0.835490037732346,NA,0,0,4,0,0,2
"Gm25096",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm25634",0,NA,NA,NA,NA,0,0,0,0,0,0
"1110002O04Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33176",2.75024013935874,-0.00132076926137041,0.155931088013642,0.914505934888032,NA,3,0,5,9,1,0
"Gm39622",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33222",16.0899459245083,-0.0197063446902993,0.154190957041762,0.566164494879075,0.866969379013719,14,7,28,22,14,16
"Gm39623",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39624",62.0722478653383,0.0328205169992364,0.153053220711134,0.489854535096714,0.834771876962422,48,89,67,38,48,81
"Hs6st1",67010.8794587482,-0.355960654818609,0.242313815633453,0.0103931388150143,0.182331222048784,58450,61991,96525,59245,83594,47692
"LOC118567736",9.67997157686881,-0.00235041895763788,0.154477070960048,0.921113382405103,0.980665423126983,7,1,11,18,12,12
"Gm33280",1490.1381760969,0.0309658123671646,0.147776406198104,0.589211434938064,0.872780666984268,935,2509,1879,1059,1415,1200
"Uggt1",108551.222499166,-0.0461438933193527,0.122563923081693,0.594450343088955,0.874828828141982,87409,108808,146003,119593,103963,98696
"Mir6897",38.9531161676355,-0.016420358326677,0.148599647978915,0.737404816316675,0.926718230200747,33,40,59,41,32,34
"Gm39625",3.1225204069861,0.0116895094164527,0.15613311213795,0.502495911920578,NA,1,4,5,5,1,4
"Neurl3",10905.5875411229,0.111053872670404,0.181865922684359,0.14277403439754,0.609163242118991,7061,6411,11702,19809,8993,14462
"Arid5a",6275.59739218496,-0.0265317759645569,0.117902590066612,0.733169618470063,0.925440114834431,4610,6056,7946,7170,6730,5991
"Kansl3",46354.6727086353,-0.0573465682772902,0.120941046567825,0.419037694483623,0.808463300913512,35349,41869,59259,53293,51249,43332
"Mir6898",4.9868773592778,-0.00415691189905269,0.155182010258191,0.835834574449014,NA,1,2,11,8,6,5
"Fer1l5",9.71063280692555,0.000946143637687319,0.154483753735139,0.971710079898432,0.992629776101465,5,17,6,4,17,8
"Lman2l",34321.5781121659,-0.187986777630439,0.168168031569679,0.0616163555401945,0.454504158382715,27746,29191,47252,38196,40098,28066
"Gm33401",2.81066954663776,0.00184378686566124,0.155759384755459,0.901926152441472,NA,1,3,3,0,4,6
"Gm33454",53.4011740593615,-0.0194215388481592,0.148346822395586,0.701132870302851,0.914249034177436,40,50,71,38,59,67
"Cnnm4",11724.9191212755,-0.256868158614616,0.180810222689697,0.0226492947638037,0.278885673546099,9776,9528,17239,12873,13204,9460
"Cnnm3",10527.4205178384,-0.0722311989646529,0.12229337311719,0.363246132082849,0.783552307902375,8645,9522,14100,11407,10482,10288
"Ankrd23",2390.11589374323,-0.00110373528344305,0.119737866809072,0.975692319476351,0.993853624745964,1868,2384,3094,2493,2235,2539
"Ankrd39",4916.98146288838,-0.140016971137874,0.154879829956243,0.129153720754262,0.595104644207138,3872,4092,6595,5771,5755,4132
"Sema4c",30627.5262526762,-0.0403183354678242,0.14049737102726,0.699592144252144,0.913872752364204,23330,17550,39698,36251,32459,40065
"Fam178b",1197.36183345794,-0.0686347442940664,0.147635318015722,0.352363387095492,0.7788374230956,801,836,1471,1514,1638,1144
