"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Papola",20917.8150078454,0.0199709202935535,0.126310616752573,0.797510186200094,0.943903030968441,15565,23374,26692,20235,19605,22119
"Gm19554",1.6842615798706,-0.00453918620491107,0.156024029000038,0.717872784158846,NA,2,2,2,2,2,0
"Gm32370",166.592511064009,0.0636539184730347,0.149344213158632,0.371872001468694,0.787728803017391,100,140,198,216,165,215
"Vrk1",7411.97955525103,0.0179243060288988,0.115815908324858,0.820406377132868,0.950691951533381,5385,7415,9571,8390,7140,7629
"Gm32723",6.06937169291651,-0.0168251007966159,0.156359768626711,0.420999423370414,0.809958756135374,2,4,6,3,16,6
"Gm32635",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm32776",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm24986",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm32830",0,NA,NA,NA,NA,0,0,0,0,0,0
"1700121N20Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51969",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm32876",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm32935",0.218865363489352,-0.00344134280471437,0.156443766188497,0.79752438517304,NA,1,0,0,0,0,0
"Gm46320",0,NA,NA,NA,NA,0,0,0,0,0,0
"4933406K04Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm52000",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm52001",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm40569",0,NA,NA,NA,NA,0,0,0,0,0,0
"1700013N06Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm16087",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm16086",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568016",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568017",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33236",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568018",0,NA,NA,NA,NA,0,0,0,0,0,0
"4930465M20Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33341",0,NA,NA,NA,NA,0,0,0,0,0,0
"Bcl11b",1.04190960385827,-0.00972755368113554,0.156804066757506,0.200375398390457,NA,2,0,2,0,2,0
"Setd3",11789.1620351725,-0.0390923344812259,0.128705249229676,0.607158624591332,0.880150549149411,8776,9220,14984,16324,13019,10589
"Ccnk",9940.71205832771,-0.0411930080019615,0.131591171863077,0.604723995715735,0.879068823894786,7464,8879,12619,13641,10972,7737
"Ccdc85c",17423.8153385573,-0.00483765920669984,0.128425618820597,0.949643345984066,0.988398366990404,13345,13488,20722,26243,18220,15696
"Hhipl1",954.270365431209,0.08185135216396,0.141137616291079,0.314533757384722,0.76007120584957,646,1091,1050,1095,955,992
"Cyp46a1",92.4842452565088,0.207793185749868,0.386326957232618,0.015081379244114,0.222813454538492,53,99,84,91,46,193
"Eml1",2463.89295662252,-0.0330093824203864,0.130321152563437,0.657846653225465,0.899954478941091,1885,2531,3099,3035,2657,1891
"Gm16596",19.0803778374506,0.00061379469818677,0.153268856232017,0.987119391353611,0.99649726685712,14,4,22,42,21,18
"Evl",14646.8725036998,-0.028533266400876,0.126701063359576,0.720421655727903,0.92109148201198,11003,11507,18381,20581,15739,13352
"LOC118568019",1.72510765290722,-0.00519134788793069,0.156177803049265,0.640942407665634,NA,1,0,2,4,4,0
"Mir342",0.180745183196264,0.00310074612523339,0.156428548376499,0.829882553921129,NA,0,1,0,0,0,0
"Degs2",15.8770278993683,-0.012406131171527,0.154580595870708,0.654210999881324,0.898377056272126,6,6,17,32,32,8
"Gm33467",16.4351996645613,0.00333502394820673,0.153623574198,0.911813188552856,0.979228690747114,22,6,9,22,12,26
"Gm40572",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33628",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"Gm33682",506.901185835348,-0.0671283760304446,0.144146501262665,0.371236961913105,0.787436088357739,359,394,608,593,668,493
"Gm40573",89.3478703169808,-0.0107627867963739,0.141703955488044,0.857673927843161,0.961778097681066,69,93,97,96,104,83
"Yy1",11706.6247926242,0.0140789569690128,0.11396105664173,0.857653411356618,0.961778097681066,8770,11558,14843,13759,11257,11667
"Slc25a29",536.983831837969,0.130295707926479,0.181332015059939,0.130544444448308,0.595615205997428,327,534,576,908,504,491
