"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Dbh",13058.6749425689,0.913489721261806,0.360888356634753,8.07813286235858e-05,0.0050837703955118,14462,6927,13682,11286,5594,20737,10794,24116,8368,28128,5207,13386
"Rxra",2230.58777671834,-0.518396091381592,0.26535694388457,0.000475775026899381,0.0187176858143586,1411,2254,2320,3570,2500,1068,2579,2273,2094,2396,3222,1596
"Gbgt1",350.763594040436,2.89709646704627,0.784986267007794,1.1652240732016e-07,2.65582430336568e-05,580,64,557,130,18,645,75,619,58,580,16,1006
"Barhl1",59.0504284107067,1.87283451339311,0.729025113397577,1.51290546051387e-05,0.00138603467711272,60,30,137,36,18,36,20,239,8,102,18,50
"Gm14488",148.513518968707,-0.695056572510269,0.276631719883641,8.72230067657444e-05,0.0054111811505056,93,122,128,241,156,79,169,109,149,164,238,175
"Ptges",250.138407058309,0.938951159774667,0.319094388616349,3.08570334823028e-05,0.0023816432329864,216,171,518,218,84,251,126,320,122,556,220,307
"Garnl3",22799.408896106,-1.43710864002779,0.191982744139786,1.02194514237317e-14,1.53065483503022e-11,11367,24664,8116,42236,34976,11833,33271,12957,27342,18265,40535,10774
"Angptl2",10772.317224225,-1.14718142065611,0.192668681272503,3.34295766482047e-10,1.94717997982279e-07,7020,10313,4665,15744,17252,7202,17111,8147,13717,9230,14687,4458
"Ggta1",504.051511491881,-0.425883694157899,0.205523692535835,0.000595215193073238,0.0220903847496509,354,414,314,599,658,485,662,513,574,500,526,490
"Ptgs1",34913.708726615,-0.468168191126706,0.303839851355135,0.00128108786783897,0.0382059686447555,16318,39854,41963,68675,34569,13950,32277,31524,27163,35008,60853,28192
"Lhx2",3158.18915286541,0.272998613312851,0.0955570269244873,0.000404417669802036,0.0164345622443389,3111,2311,3154,3614,2640,3382,2876,4142,2357,4481,2956,3763
"Cobll1",1192.15374387875,0.733798368906374,0.180142062773562,3.77499012973372e-07,6.82394551986089e-05,1535,742,1649,1284,790,1226,914,1872,728,1742,850,1356
"Stk39",19810.9440899357,-0.231881249365346,0.0907114263404839,0.000832438265738902,0.0280633408268152,18569,15069,15860,25601,22994,17332,23969,23844,19458,20913,20483,17058
"Dlx2",3252.53540290267,-0.555708294640592,0.267286604752961,0.000322228521328681,0.0141060748721109,2350,2240,1756,3349,5598,2971,5656,4874,4418,1559,2887,1199
"Evx2",63.7705923855686,-2.13415328202153,0.388628310447224,2.06579582428012e-10,1.35367726997906e-07,11,73,13,137,130,23,127,40,100,6,88,15
"Gm31790",167.051609910626,-0.630181064724808,0.386100500721333,0.000709993731848839,0.025106000949643,94,148,192,234,232,79,217,191,189,137,169,142
"Hoxd13",13006.5344709742,-0.732456137718391,0.136993820152162,6.08043655347181e-10,3.3552808970987e-07,8359,12544,9020,20202,17585,9713,17750,13600,14352,9819,15581,8939
"Tfpi",317.385866485474,2.19386674960808,0.969175897843077,1.25218043735447e-05,0.00118809826203103,206,50,458,82,34,921,76,711,68,190,28,1068
"Chrm4",7765.48742494,-0.548335413396015,0.186008008505476,3.86989901717442e-05,0.00278480580238704,5403,7958,5047,13046,9792,5397,9634,7520,7465,6621,12710,3948
"Gm39876",200.763838812281,-0.946877770752131,0.311925112841383,2.45316301231938e-05,0.00199873368606207,88,342,173,484,193,54,164,123,163,145,395,128
"Prdm11",365.948773299758,0.621709311068547,0.246288909208249,9.43120202044208e-05,0.00569921830451441,434,182,368,334,229,581,333,558,284,416,288,458
"Trp53i11",80.6439585880891,-2.20960981708429,0.711376970901065,2.40041385696889e-06,0.000312984368430256,32,134,8,172,124,15,140,2,104,44,152,36
"Gm6306",78.7479823453812,-0.723399936464439,0.377062763829298,0.000340302195562077,0.0145926313675689,58,72,53,125,108,53,106,41,76,83,104,78
"Wt1os",10.2269090896224,0.342628802697746,0.95666465236019,0.00166474459103308,0.044811334184047,6,0,60,10,0,0,0,29,0,16,4,5
"Ankrd63",102.864045446586,0.915427131356082,0.409712208841629,0.000152248756060678,0.00808228902743384,120,84,114,81,44,133,67,164,56,172,48,182
"Dll4",90.5134491607667,1.63041167803919,0.470133288171728,5.48988265265856e-06,0.000615600798628862,46,86,142,114,14,88,16,59,14,184,56,318
"Platr3",212.271852156929,2.48591506676713,0.564685751296905,1.02300088869513e-08,3.40496914842034e-06,150,35,431,58,26,502,77,710,56,154,38,393
"Snord17",141.66394378353,-1.07294263072514,0.27179672852945,2.14561066031101e-06,0.000292052330061289,108,134,70,230,248,86,181,82,165,103,210,87
"Gm34292",46.2874883575622,-1.23226672477428,0.429570183466224,3.55204622007614e-05,0.00264123607052399,16,40,44,67,75,32,63,24,56,32,67,40
"Gm46771",10.8186921378016,-0.645380837655859,0.834851882282251,0.00177960767246215,0.0468801423164056,2,8,6,21,17,6,20,2,16,1,26,5
"Syndig1",264.640088356872,0.829061213961058,0.623194055088278,0.000871906039657651,0.0287468518012284,532,82,141,189,65,543,238,370,170,517,60,344
"Ninl",122.897901958008,0.774602716169382,0.441387653103519,0.000453111236870416,0.0179948665263935,277,36,80,72,105,196,93,249,105,144,19,110
"Tmem74b",227.591721117058,-0.491217606097039,0.230589839696257,0.000371925625407979,0.0155555268889754,208,212,141,305,252,176,322,197,291,218,254,162
"Trib3",22061.9235135327,-0.38169638297359,0.19375600292007,0.000945215160741464,0.0307767340148878,4613,31076,29376,52693,8029,5382,8639,7510,6815,49526,49336,27998
"a",117.53599465527,1.11290512641319,0.31697358569702,8.31977925241668e-06,0.00085518358403885,172,85,125,122,49,114,63,130,49,260,99,196
"Map1lc3a",1845.39787390079,0.867227738649417,0.244972053899001,4.76979835448657e-06,0.000555655009417938,1452,1563,2333,2443,709,1792,996,1812,691,5012,2065,2463
"Trp53inp2",12518.3912876984,0.38967228584506,0.185533255249853,0.000719644611194381,0.0253617274825798,11330,10723,12545,17404,7424,13901,9357,12669,7494,21888,13076,17352
"Mroh8",331.815890738555,-3.8063312103494,0.285311530032716,2.34655760738372e-42,4.92049664692291e-38,26,483,33,822,672,39,547,70,549,54,594,75
"Gm14204",201.938885452127,1.55649792418522,1.18566886573044,0.000118806106826839,0.00680668102199997,357,25,126,92,21,697,70,112,30,360,14,554
"Ppp1r16b",5128.68513665733,-0.586543184994939,0.134184256187503,1.07515443104521e-07,2.47746299610847e-05,2746,6248,5788,9664,4187,2496,4388,3155,3667,8207,6407,6540
"Gm14267",603.023243741762,-0.46500478825252,0.189584360277669,0.000221937154168849,0.0106009115848897,281,738,667,1407,481,244,382,320,332,854,1014,823
"Gm34403",58.7789707114329,-0.648979961338727,0.392680790066859,0.000659681547820658,0.0237284913576298,44,55,52,73,85,38,78,40,63,59,54,66
"Cyp24a1",1960.30208072179,-1.24701201650205,0.204787415450895,1.69482318156832e-10,1.14641120304213e-07,870,2649,1197,4445,1972,715,1954,753,1558,2689,3738,1739
"Gm36417",80.370379872559,1.61044633256295,0.458566883639983,5.21818527924367e-06,0.000594674603915546,100,24,142,68,17,113,33,108,25,135,14,222
"Pmepa1",938.255573258942,0.405893288873506,0.269571790930222,0.00177507021861877,0.046819430709707,964,559,939,770,669,1290,960,2077,805,1122,561,783
"Gm38546",23.4489735843446,-1.97152560608577,0.95659088168285,2.51169459918687e-05,0.00201792046169922,1,26,19,53,63,2,20,13,32,11,23,20
"Zfp831",991.229214018374,0.430620593684772,0.23205330459779,0.000851865761818548,0.0282638815816031,1086,696,1117,1330,628,934,669,993,518,1998,754,1646
"Nkain4",107.414086048243,2.17565927250292,0.625978773641763,1.02248494019775e-06,0.000155365845731932,88,20,89,66,20,437,40,152,34,122,22,216
"Pkia",1093.40746889542,1.26150190780629,0.450907812910923,3.94038826491529e-05,0.00281040821520438,1937,498,1781,759,328,1056,777,2631,584,2055,276,913
"4930577N17Rik",299.513703312555,-0.450537560790438,0.268646275502682,0.00106625382962696,0.033221807657426,158,352,418,554,274,131,242,195,209,427,459,275
"Gm5103",43.312288257052,-2.32219990462558,0.94981675524296,7.47153630584507e-06,0.000783353223986326,13,76,29,90,16,2,103,9,99,33,25,16
"Gm52609",14.6194387234092,0.784195902029834,0.80559131918081,0.00121210633006307,0.0369157156371972,31,0,13,4,5,39,10,18,4,24,2,28
"Pear1",759.530693434102,1.34268305568358,0.25385291739214,1.29095538884055e-08,4.1646220843996e-06,892,603,1131,788,197,683,351,984,309,1837,438,1300
"She",86.3327365714017,0.932151447291468,0.400090028521497,0.000124044263835913,0.00699216174294426,109,61,132,97,28,78,44,77,36,146,98,162
"Gm46815",71.6387476233482,-1.13781425444804,0.450831098030753,7.43157687448193e-05,0.00478014526015373,36,96,74,142,94,15,87,37,45,81,124,48
"Otud7b",7211.43014695554,-0.448154850367946,0.213587438366013,0.000496687035146954,0.0193228765120528,5561,6419,7356,10324,8881,4284,8717,8103,7596,7662,7004,5834
"H2ac20",107.950193163349,-0.627840308585681,0.315602997199969,0.000330943174876398,0.0144273335425846,58,121,75,194,125,70,117,72,97,137,180,78
"H2bc21",705.104132082874,-0.347349226378301,0.197066991195439,0.00165870837133843,0.0447062414377835,465,570,749,939,759,497,875,742,623,744,924,730
"Hjv",104.835329587251,-1.03466401168613,0.507575853975966,0.000197817189382942,0.0097980029036695,52,144,76,224,116,25,132,52,80,114,242,32
"Gm33162",17.4892602903993,1.69601281700665,0.727262624764946,3.26261628714524e-05,0.0024698123077671,31,4,36,7,5,29,8,29,2,28,10,26
"Syt6",88.9795204429445,1.18582872488874,0.793408110720728,0.000286582794586544,0.0127858608929473,152,33,40,44,30,285,31,60,44,155,16,182
"Ppm1j",676.130556460348,-0.940404887787574,0.241261386789957,1.74356729565827e-06,0.000248713351174546,222,839,485,1402,608,321,655,361,459,793,1334,905
"Inka2",615.862134118838,0.853212316726817,0.1735781850737,1.44644512311031e-08,4.46036879213237e-06,1110,218,530,342,508,921,629,1205,465,666,214,658
"Dennd2d",1930.99809481822,0.62470443830994,0.218628444067568,3.7415099843736e-05,0.0027241570438309,1247,1511,2935,2853,820,1843,1023,1822,840,3224,2124,3888
"Sort1",16346.9325889672,-0.447164346364665,0.161923799718391,0.000129191923032838,0.00724338351357107,13785,14671,12436,24995,19201,10707,21194,18474,17797,16317,18596,10867
"Vav3",469.780758818018,1.083895697065,0.319083264437807,1.09819609354648e-05,0.00108792999963618,795,272,350,347,300,821,377,814,279,430,192,709
"Dpyd",3141.51021133214,0.433282013750307,0.0985222019155425,6.67975015271167e-07,0.000110289512560796,3616,1726,3232,2970,2771,4044,3121,5115,2497,3893,2267,3153
"Gm40190",96.3706732224926,-0.809419293984705,0.289030792494431,4.04884588516812e-05,0.00285859425475052,41,114,114,170,89,48,88,49,74,156,121,125
"Bcar3",394.249112988949,0.940487287382599,0.23996757536883,1.61599995441264e-06,0.000235318771139435,348,322,607,497,135,262,180,498,173,987,382,587
"Gm29949",24.2604050531457,1.49913074949392,0.803846658890407,9.10097920126615e-05,0.00554762886253924,29,17,59,11,4,19,6,64,8,40,12,32
"Gm29811",52.0508640687804,1.16346955348752,0.482884868864743,8.87615362031395e-05,0.00547423721365774,54,45,81,101,19,37,15,91,22,68,64,58
"Manba",2798.79809470212,-0.662135252705769,0.151709076607881,8.58374677144916e-08,2.02238860730918e-05,1920,2358,1993,4221,3627,1987,3965,3243,3196,2220,3339,1928
"Gm43403",42.2606738374167,-1.05075163915955,0.481275349781431,0.000150512840851961,0.00801041563407304,12,45,36,70,46,24,43,19,47,52,83,39
"Dapp1",13.1348732305362,1.34053689576286,1.08226308714331,0.000202726395936812,0.00990902050442661,20,4,10,4,4,28,2,20,2,20,4,44
"Clca3a2",33.7438837925053,1.09005666926194,0.759927444273371,0.000393048452489066,0.0161324867694869,50,7,66,11,4,38,18,115,21,50,11,30
"Clca2",345.979874078697,1.62859578535396,0.396701457695024,1.01442413898811e-06,0.000155266129711253,392,116,615,164,144,468,196,1317,157,372,80,301
"Gm36726",61.5490295888772,2.12682765628528,0.509160315487494,1.17878921419564e-07,2.65785279919014e-05,94,7,82,19,18,137,26,190,20,40,4,120
"Ptgfr",2352.94918948043,-1.27189161315113,0.201373087734697,4.26767708483275e-11,3.44188156891761e-08,1216,2787,1702,4683,3076,873,2647,1421,2448,1703,3671,2409
"Cnr1",4777.36521722986,0.984246917301631,0.473468440413761,0.000195180378041951,0.00974461273133732,9556,1536,4020,2157,2159,8649,4600,11270,3890,2982,781,5929
"Cntfr",12175.5920566959,0.683846300907574,0.17467939370415,6.93276528730977e-07,0.000113572777585624,13680,7424,12753,11556,8449,15486,9886,19629,8055,22313,8876,12531
"Ccl27a",202.513800846349,0.446021368271799,0.278905271207334,0.0012535547041499,0.0376048477701277,183,150,297,209,110,212,151,303,127,342,201,218
"Ccl21b",552.000941080322,0.616518443269328,0.224679730075011,5.29390926968674e-05,0.0035579481883353,727,303,444,547,382,699,492,808,355,946,454,667
"4930578G10Rik",503.147479253968,0.642427476436347,0.270919703971493,0.000133002297125358,0.00735864160533414,705,246,387,463,332,651,450,735,320,890,415,629
"Dnajb5",8851.4618024025,0.336261850703099,0.149487062433361,0.000825231220545921,0.0279615250156119,6989,8518,11476,14143,4890,6544,5765,9744,4945,16432,10764,10329
"LOC118568650",15.2516353013595,0.552410715529613,1.07144293702408,0.00122299611529443,0.0371128879039203,18,35,42,11,0,13,2,8,0,22,20,8
"Abca1",7484.39369738297,-0.439419370888939,0.289901540666183,0.00150025882459976,0.0422800307913092,1424,9554,15055,14697,2662,1300,2635,2402,2377,12821,9161,19833
"Gm25053",132.544548366657,-1.21433667952056,0.375525421512355,1.67791194681007e-05,0.00149085320392629,37,128,61,198,216,91,176,86,146,119,270,79
"LOC108168693",30.5540152697489,2.01430010063424,0.492289613554718,2.64981523347751e-07,5.2048458715234e-05,32,14,56,21,8,43,4,45,8,72,10,70
"Tusc1",345.563402464997,0.677310001933534,0.226427075626804,2.28147061827382e-05,0.00189242740188711,289,296,470,508,212,309,176,451,159,683,380,396
"Pde4b",2693.03623952769,0.503996656409076,0.199613148835569,0.000148948823341537,0.00794734828663789,3453,1543,2944,2453,2153,2407,2275,4999,1843,4156,2038,3016
"Dmrtb1",27.7162555662195,0.954220420460753,0.995095375310559,0.000605850863409321,0.0223270417483832,34,10,46,16,0,38,10,30,4,90,0,74
"Kcnq4",148.789509231533,-1.53925379014097,0.416276915964943,3.91216665725595e-06,0.000468766986491428,49,279,54,422,127,33,115,18,107,187,363,90
"Mycbp",2512.13114843574,-0.33583189511192,0.125156446209377,0.000383416701891153,0.0158774804103392,2269,2146,1842,3753,2883,2081,3017,2418,2513,2835,2716,2139
"Fndc5",171.762640748804,-0.969318658303395,0.444988657586395,0.000164098629757034,0.00853842225155148,70,170,71,307,203,78,214,90,129,249,345,208
"C77080",619.318689673993,-0.627044389677293,0.410649707098852,0.000888202810952905,0.0291466740890007,534,530,385,892,920,278,917,567,717,620,928,219
"Hcrtr1",92.9621240045716,0.835831578137424,0.598271207796621,0.000782873486397691,0.0269583248061961,65,60,157,96,12,88,41,76,24,318,28,224
"Tinagl1",1838.30440536761,1.12642719992399,0.509840819800944,0.000131056592912026,0.00728945808162408,1664,1350,4102,2215,328,728,714,3002,597,5561,1218,2023
"Rnu11",62.7705545175002,-1.78358734344717,0.431337249779376,5.71902351029593e-07,9.67114548285447e-05,27,58,10,103,143,33,85,16,92,27,136,17
"Gm22767",123.674182858958,-1.41238356674668,0.266616500604065,1.154966563467e-08,3.78413966708428e-06,76,112,70,219,224,48,163,80,161,87,144,110
"Gm34296",31.0178613424146,-0.828514961096769,0.669527232361331,0.000971117435418322,0.0314257363988979,14,24,14,36,64,26,42,9,43,21,60,15
"Lin28a",4403.12849776099,-0.668698764920341,0.239539383810273,4.19552665008917e-05,0.00294234108112775,3672,3701,3257,6405,6547,2628,6162,4674,4983,3576,5457,2205
"Grrp1",1104.5301130702,0.502668671902564,0.21444383271398,0.000224604248043189,0.0106796518757769,875,809,1478,1306,737,1359,831,1604,647,1479,1145,1351
"Gm30701",14.1660491920791,-1.28533737272695,1.04846941382821,0.000235340120086277,0.0111145202209215,2,25,7,14,22,7,18,1,30,14,11,12
"Ubxn10",125.218520610678,-1.00010422121395,0.235272987496489,5.93456080925329e-07,9.95534444873859e-05,54,166,98,265,127,46,132,80,94,133,240,109
"Pla2g2c",93.3067377494514,-0.53470731945267,0.405055404933284,0.00163440116280932,0.0443449909643479,31,128,82,220,75,39,65,30,43,159,197,102
"Pla2g5",1052.09328986237,-1.4475756611778,0.28692407022497,3.71503530816857e-08,9.98725325345984e-06,305,1637,566,2862,888,193,697,222,489,1223,3398,699
"Padi2",1603.085830358,-0.773097070615788,0.366476998412925,0.000215127707523694,0.0103463598602393,1094,1812,1184,2643,2190,687,1986,1386,1735,1717,2413,621
"Gm34375",793.69608287646,-0.949580116500791,0.261925503952318,4.50853759681785e-06,0.000535309395627373,557,712,496,1153,1282,502,1030,538,826,922,1171,440
"Mfap2",3149.00628503263,1.46968506503852,0.321642941630244,2.763243897494e-07,5.36504271171776e-05,2232,1451,4122,2416,1019,6730,1648,4844,1365,4803,1740,6547
"Hspb7",80.7674973410244,2.22091616858239,0.4403505989526,1.38810388667278e-09,6.32764139122641e-07,143,20,156,56,8,102,38,160,18,162,22,126
"Gm13040",23.5529818889835,-0.61531076860783,0.975318071354364,0.00140172703433787,0.0408801309916978,0,9,0,90,46,12,50,6,70,0,4,0
"Gm13057",20.6068972069155,-0.725320599502156,1.04580060781725,0.000979796043331345,0.0315596670239862,0,9,0,82,39,10,42,5,60,0,5,0
"Slc25a33",21080.2312483021,-0.435654819139979,0.219702127713694,0.000659721992536516,0.0237284913576298,9536,28081,16343,48998,14980,9237,15636,11039,12174,33525,46386,18143
"Gm13073",609.001606896642,-0.478114449545738,0.213532087819412,0.000318876706970105,0.014017873518776,177,800,721,1418,277,167,282,180,209,1152,1288,1044
"Slc45a1",3295.4901284017,-0.335850541734267,0.150367680007596,0.000849937148673523,0.0282638815816031,1601,3746,3851,6430,2480,1622,2602,2511,2075,5598,5025,3609
"Abcb1a",3098.00383971178,1.02928972104221,0.191903219670564,5.09306084902201e-09,1.87362092882706e-06,5081,1581,3318,2522,1761,4110,2434,4809,1952,3975,1672,4623
"Gm21083",6.86460946554717,0.428749629038522,1.0997196669605,0.00101663930673428,0.0324473510242178,11,0,0,2,0,17,0,7,0,25,10,16
"Speer4d",5.14318804809597,0.388142351539686,1.0182492071091,0.00138280646166724,0.0405539422303501,9,0,0,3,0,14,0,5,0,19,4,12
"Speer4c",7.92794000463903,0.361829008892372,0.971558480745377,0.00164103867523077,0.0444012128785986,11,0,3,2,0,14,0,0,0,32,2,38
"Hgf",334.359434410759,1.20721271626307,1.71356568411019,0.000183680182834984,0.00928093916594404,126,11,622,10,18,224,28,3253,26,32,0,118
"Sema3c",4032.05029934276,1.16111337097252,0.23159428015808,4.21558344818309e-08,1.10495711656189e-05,7077,1551,3032,2376,2562,7517,3105,6552,2675,4473,1820,6095
"Gbx1",908.81517395509,0.429525455626558,0.232375796520362,0.00086805004675321,0.0286647896541229,457,917,1532,1504,359,642,318,520,294,1793,1438,1626
"En2",7003.46904167112,-0.268278377843145,0.12694754094266,0.00158671649255791,0.0438672620492802,7804,3222,3804,4903,11212,8423,11405,10714,9051,4939,3508,4566
"Gm9899",545.25508365972,1.09684688352637,0.216817907222338,2.89284979614422e-08,7.87794381498028e-06,784,255,475,304,353,1020,430,896,337,788,243,757
"Gm9903",144.508306864613,-0.969227494755585,0.268074032602973,4.88485307736466e-06,0.000565914277233478,85,156,174,250,150,50,143,90,147,182,194,146
"Fgfr3",463.702350419386,0.654320432853115,0.26792704054239,0.00010942832961143,0.00639165081788876,559,306,432,415,268,532,318,600,294,959,320,743
